text,gold_labels,generated
"However, to our knowledge, in newborns there have been no reported cases to date of thrombocytosis induced by enoxaparin.","[['enoxaparin', 'thrombocytosis']]","[['enoxaparin', 'thrombocytosis']]"
"Neutropenia is an infrequent complication following administration of the angiotensin-converting enzyme (ACE) inhibitor, captopril.","[['captopril', 'Neutropenia']]","[['captopril', 'Neutropenia']]"
"Akathisia appeared to be a common side effect of fluoxetine and generally responded well to treatment with the beta-adrenergic antagonist propranolol, dose reduction, or both.","[['fluoxetine', 'Akathisia']]","[['fluoxetine', 'Akathisia']]"
We report the first case of herpes esophagitis in a renal transplant patient treated with Cyclosporine A while on chronic steroid therapy.,"[['Cyclosporine A', 'herpes esophagitis']]","[['Cyclosporine A', 'herpes esophagitis']]"
Complications associated with primary and secondary perforation of the bladder following immediate instillations of epirubicin after transurethral resection of superficial urothelial tumours.,"[['epirubicin', 'primary and secondary perforation of the bladder']]","[['epirubicin', 'primary and secondary perforation of the bladder']]"
The site of thrombosis and the chronological relationship with the IIR implicates a hypersensitivity to infliximab in the causation of the venous thrombosis in this case.,"[['infliximab', 'hypersensitivity'], ['infliximab', 'IIR'], ['infliximab', 'venous thrombosis']]","[['infliximab','venous thrombosis']]"
A case of toxic hepatitis caused by combination therapy with methotrexate and etretinate in the treatment of severe psoriasis is presented in a 47-year-old woman.,"[['etretinate', 'toxic hepatitis'], ['methotrexate', 'toxic hepatitis']]","[['methotrexate', 'toxic hepatitis'], ['etretinate', 'toxic hepatitis']]"
"Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.","[['ONO-1078', 'interstitial pneumonia'], ['pranlukast', 'interstitial pneumonia']]","[['ONO-1078', 'Acute interstitial pneumonia'], ['pranlukast', 'Acute interstitial pneumonia']]"
Hyperkalemia as a late side effect of prolonged adrenocorticotropic hormone therapy for infantile spasms.,"[['adrenocorticotropic hormone', 'Hyperkalemia']]","[['adrenocorticotropic hormone', 'Hyperkalemia']]"
Spontaneous hemothorax following anticoagulation with low-molecular-weight heparin.,"[['heparin', 'Spontaneous hemothorax']]","[['heparin', 'Spontaneous hemothorax']]"
Infections are a major adverse effect during the treatment with anti-TNF-alpha.,"[['anti-TNF-alpha', 'Infections']]","[['anti-TNF-alpha', 'Infections']]"
Naproxen-associated sudden sensorineural hearing loss.,"[['Naproxen', 'sudden sensorineural hearing loss']]","[['Naproxen','sudden sensorineural hearing loss']]"
The exophthalmos improved dramatically within 72 hours of the withdrawal of lithium.,"[['lithium', 'exophthalmos']]","[['lithium', 'exophthalmos']]"
Oculomotor disturbances associated with 5-fluorouracil chemotherapy.,"[['5-fluorouracil', 'Oculomotor disturbances']]","[['5-fluorouracil', 'Oculomotor disturbances']]"
Acetazolamide-accelerated anticonvulsant osteomalacia.,"[['Acetazolamide', 'osteomalacia']]","[['Acetazolamide', 'osteomalacia']]"
"Increased lash length, thickness, and pigmentation are well-documented side effects of prostaglandin analog glaucoma drops.","[['prostaglandin', 'Increased lash length'], ['prostaglandin', 'pigmentation']]","[['prostaglandin analog glaucoma drops', 'Increased lash length'], ['prostaglandin analog glaucoma drops', 'pigmentation'], ['prostaglandin analog glaucoma drops', 'thickness']]"
The patient suffered a life-threatening anaphylactoid reaction to amifostine.,"[['amifostine', 'life-threatening anaphylactoid reaction']]","[['amifostine', 'anaphylactoid reaction']]"
Three diabetic cases of acute dizziness due to initial administration of voglibose.,"[['voglibose', 'acute dizziness']]","[['voglibose', 'acute dizziness']]"
Propylthiouracil-induced cutaneous vasculitis.,"[['Propylthiouracil', 'cutaneous vasculitis']]","[['Propylthiouracil', 'cutaneous vasculitis']]"
RESULTS: A previously healthy 42-year-old woman presented with acute-onset delirium with psychotic features as a consequence of levofloxacin therapy.,"[['levofloxacin', 'acute-onset delirium with psychotic features']]","[['levofloxacin', 'delirium']]"
"To our knowledge, these cases are the first published reports of lovastatin-induced rhabdomyolysis associated with azithromycin and clarithromycin.","[['azithromycin', 'rhabdomyolysis'], ['clarithromycin', 'rhabdomyolysis'], ['lovastatin', 'rhabdomyolysis']]","[['clarithromycin', 'rhabdomyolysis'], ['azithromycin', 'rhabdomyolysis'], ['lovastatin', 'rhabdomyolysis'], ['clarithromycin', 'rhabdomyolysis'], ['lovastatin', 'rhabdomyolysis']]"
"Our findings suggest that hyperkalemia can develop with the use of low-dose heparin, within seven days of initiating heparin therapy, and that patients with diabetes mellitus or chronic renal insufficiency are especially predisposed to this complication.","[['heparin', 'hyperkalemia'], ['heparin', 'hyperkalemia']]","[['heparin', 'hyperkalemia']]"
"However, other factors or drugs (e.g. cresol) are thought to induce MH.","[['cresol', 'MH']]","[['cresol', 'MH']]"
Reversal of ergotamine-induced arteriospasm by mechanical intra-arterial dilatation.,"[['ergotamine', 'arteriospasm']]","[['ergotamine', 'arteriospasm']]"
Transient anuria following administration of angiotensin I-converting enzyme inhibitor (SQ 14225) in a patient with renal artery stenosis of the solitary kidney successfully treated with renal autotransplantation.,"[['SQ 14225', 'Transient anuria']]","[['SQ 14225', 'Transient anuria']]"
Heparin-associated thrombocytopenia: successful therapy with the heparinoid Org 10172 in a patient showing cross-reaction to LMW heparins.,"[['Heparin', 'thrombocytopenia']]","[['Heparin', 'thrombocytopenia']]"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.","[['ethambutol', 'anti-native DNA antibodies'], ['rifampicin', 'anti-native DNA antibodies'], ['ethambutol', 'hepatitis'], ['rifampicin', 'hepatitis'], ['ethambutol', 'Polyarthritis'], ['rifampicin', 'Polyarthritis']]","[['ethambutol', 'anti-native DNA antibodies'], ['rifampicin', 'anti-native DNA antibodies'], ['ethambutol', 'Polyarthritis'], ['rifampicin', 'hepatitis'], ['ethambutol', 'Polyarthritis']]"
We report three cases of IFN beta induced hepatitis in MS and discuss the pathology findings and possible mechanisms of drug-induced liver injury.,"[['IFN beta', 'hepatitis'], ['IFN beta', 'liver injury']]","[['IFN beta', 'hepatitis']]"
"Two children, 1 with idiopathic nephrotic syndrome and 1 with endo-extracapillary glomerulonephritis, presented an episode of seizures and transient blindness at different times after i.v. pulse methylprednisolone (IVPMP) treatment.","[['methylprednisolone', 'seizures'], ['methylprednisolone', 'transient blindness']]","[['methylprednisolone', 'transient blindness'], ['IVPMP', 'transient blindness'], ['methylprednisolone','seizures']]"
Despite a response of the meningeal tumor the patient developed in the third week of MTX treatment a progressive visual loss and loss of consciousness which worsened during subsequent Ara-C treatment and led to death within 3 weeks.,"[['Ara-C', 'death'], ['MTX', 'death'], ['Ara-C', 'loss of consciousness'], ['MTX', 'loss of consciousness'], ['Ara-C', 'progressive visual loss'], ['MTX', 'progressive visual loss']]","[['MTX', 'loss of consciousness'], ['MTX', 'progressive visual loss'], ['MTX', 'death']]"
"Gynecomastia in epileptics treated with phenobarbital, phenytoin and fluoresone: two case reports.","[['fluoresone', 'Gynecomastia'], ['phenobarbital', 'Gynecomastia'], ['phenytoin', 'Gynecomastia']]","[['phenobarbital', 'Gynecomastia'], ['phenytoin', 'Gynecomastia'], ['fluoresone', 'Gynecomastia']]"
Anterior ischemic optic neuropathy secondary to interferon alfa.,"[['interferon alfa', 'Anterior ischemic optic neuropathy']]","[['interferon alfa', 'Anterior ischemic optic neuropathy']]"
A 22-year-old drug-abuser injected flunitrazepam tablets dissolved in tap water into her left femoral artery and presented with clinical signs of acute ischaemia of the left leg.,"[['flunitrazepam', 'acute ischaemia of the left leg']]","[['flunitrazepam', 'acute ischaemia of the left leg']]"
We report a patient who developed spontaneous splenic infarction after the use of sumatriptan for the treatment of migraine headache.,"[['sumatriptan', 'spontaneous splenic infarction']]","[['sumatriptan','splenic infarction']]"
Radiologic recognition of adriamycin cardiotoxicity.,"[['adriamycin', 'cardiotoxicity']]","[['adriamycin', 'cardiotoxicity']]"
Six days after starting acyclovir she exhibited signs of lithium toxicity.,"[['acyclovir', 'lithium toxicity'], ['lithium', 'lithium toxicity']]","[['acyclovir', 'lithium toxicity']]"
We report on a patient who developed acute rhabdomyolysis after taking cerivastatin.,"[['cerivastatin', 'acute rhabdomyolysis']]","[['cerivastatin', 'acute rhabdomyolysis']]"
We report a case of noncardiogenic pulmonary edema developed after therapeutic trial of EO as sclerosing agent for esophageal varix.,"[['EO', 'noncardiogenic pulmonary edema']]","[['EO', 'noncardiogenic pulmonary edema']]"
An asymptomatic HIV-infected woman experienced right-sided renal colicky pain during treatment with indinavir.,"[['indinavir', 'renal colicky pain']]","[['indinavir', 'right-sided renal colicky pain']]"
"Minor electrocardiographical changes were noted in five out of six patients who were not receiving a cardiac glycoside and four out of six who were receiving ouabain, and none of the 16 who were receiving digoxin.","[['ouabain', 'Minor electrocardiographical changes']]","[['ouabain', 'Minor electrocardiographical changes'], ['digoxin', 'Minor electrocardiographical changes']]"
A case of recall pneumonitis induced by gemcitabine is reported.,"[['gemcitabine', 'recall pneumonitis']]","[['gemcitabine','recall pneumonitis']]"
"We report on 7 patients (2 women, 5 men) with chronic renal failure, who developed under a high dosage of the new diuretic muzolimine (range 240 to 1440 mg per day) fatal neuromyeloencephalopathy.","[['muzolimine', 'fatal neuromyeloencephalopathy']]","[['muzolimine', 'fatal neuromyeloencephalopathy']]"
Adenosine-induced ventricular fibrillation.,"[['Adenosine', 'ventricular fibrillation']]","[['Adenosine','ventricular fibrillation']]"
"The most commonly recognized toxic effect of ethambutol is optic neuropathy, which generally is considered uncommon and reversible in medical literature.","[['ethambutol', 'optic neuropathy']]","[['ethambutol', 'optic neuropathy']]"
A 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.,"[['pioglitazone', 'bilateral lower leg edema']]","[['pioglitazone', 'bilateral lower leg edema'], ['troglitazone', 'bilateral lower leg edema']]"
"Treatment of ELP in children is generally supportive, with the symptoms and roentgenographic abnormalities resolving within months after stopping the use of mineral oil.","[['mineral oil', 'ELP'], ['mineral oil', 'roentgenographic abnormalities']]","[['mineral oil', 'ELP'], ['mineral oil', 'roentgenographic abnormalities']]"
We report an unusual pattern of supravenous hyperpigmentation occurring after CHOP chemotherapy.,"[['CHOP', 'supravenous hyperpigmentation']]","[['CHOP','supravenous hyperpigmentation']]"
Isoniazid-induced anaphylaxis.,"[['Isoniazid', 'anaphylaxis']]","[['Isoniazid', 'anaphylaxis']]"
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.,"[['Ticlopidine', 'aplastic anemia'], ['Ticlopidine', 'TIAA']]","[['Ticlopidine', 'aplastic anemia'], ['Ticlopidine', 'TIAA']]"
"When vague symptoms develop during desmopressin therapy, hyponatremia must be considered as part of the differential diagnosis.","[['desmopressin', 'hyponatremia'], ['desmopressin', 'vague symptoms']]","[['desmopressin', 'hyponatremia']]"
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,"[['brimonidine', 'apneic'], ['brimonidine', 'lethargic']]","[['brimonidine', 'apneic'], ['brimonidine', 'lethargic']]"
This case represents the third example of erythroid aplasia associated with an anti-inflammatory agent and the first instance due to fenoprofen.,"[['fenoprofen', 'erythroid aplasia']]","[['fenoprofen', 'erythroid aplasia']]"
"To date, this is the first reported case of what appears to be isolated thrombocytopenia associated with lansoprazole.","[['lansoprazole', 'thrombocytopenia']]","[['lansoprazole', 'thrombocytopenia']]"
CONCLUSIONS: It is probable that foscarnet contributed to the electrolyte disorders and symptomatology in this patient.,"[['foscarnet', 'electrolyte disorders']]","[['foscarnet', 'electrolyte disorders'], ['foscarnet','symptomatology']]"
The results clearly demonstrate that CPH82 was associated with suppression of the endogeneous production of ACTH and cortisol with a concomitant paradoxical picture of clinical hypercortisolism.,"[['CPH82', 'hypercortisolism'], ['CPH82', 'suppression of the endogeneous production of ACTH and cortisol']]","[['CPH82', 'clinical hypercortisolism'], ['CPH82','suppression of the endogeneous production of ACTH and cortisol']]"
The noted increase in the theophylline level after zafirlukast administration is in contrast to the original reports by the manufacturer.,"[['theophylline', 'increase in the theophylline level'], ['zafirlukast', 'increase in the theophylline level']]","[['theophylline', 'increase in the theophylline level'], ['zafirlukast', 'increase in the theophylline level']]"
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,"[['hydroxyurea', 'acute interstitial pneumonitis']]","[['hydroxyurea', 'acute interstitial pneumonitis']]"
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,"[['brimonidine', 'lethargic'], ['brimonidine', 'poorly responsive']]","[['brimonidine', 'lethargic'], ['brimonidine', 'poorly responsive']]"
Falling backward in two elderly patients taking bupropion.,"[['bupropion', 'Falling backward']]","[['bupropion', 'Falling backward']]"
These evolutional changes in both proteinuria and glomerular histology suggest a close linkage between the M-CSF treatment and macrophage-related glomerular injury.,"[['M-CSF', 'macrophage-related glomerular injury']]","[['M-CSF', 'glomerular injury'], ['M-CSF', 'proteinuria']]"
We describe a patient in whom noncardiogenic pulmonary edema developed during intrabiliary infusion of monooctanoin.,"[['monooctanoin', 'noncardiogenic pulmonary edema']]","[['monooctanoin', 'noncardiogenic pulmonary edema']]"
"Factors that suggested an association between the severe angioedematous reaction and BP topical application include the strong reaction to BP in the patch-test, the temporal relationship, the complete resolution of symptoms after the drug was withdrawn and the absence of other identified explanations.","[['BP', 'severe angioedematous reaction']]","[['BP','severe angioedematous reaction']]"
"After having received gemcitabine on day 1 of the second course, the patient developed dry cough, subfebrile temperatures and dyspnea within 48 h.","[['gemcitabine', 'dry cough'], ['gemcitabine', 'dyspnea'], ['gemcitabine', 'subfebrile temperatures']]","[['gemcitabine', 'dyspnea'], ['gemcitabine', 'dry cough'], ['gemcitabine','subfebrile temperatures']]"
"Several cases of lithium-induced Creutzfeldt-Jakob syndrome have been reported to date; all of them were elderly patients and a half had ""therapeutic"" lithium serum levels.","[['lithium', 'Creutzfeldt-Jakob syndrome'], ['lithium', 'Creutzfeldt-Jakob syndrome']]","[['lithium', 'Creutzfeldt-Jakob syndrome']]"
"CASE SUMMARIES: While conducting a protocol evaluating the efficacy of intraperitoneal cisplatin and hyperthermia in the treatment of recurrent ovarian cancer, 3 patients were noted to exhibit anaphylactoid reactions.","[['cisplatin', 'anaphylactoid reactions']]","[['cisplatin', 'anaphylactoid reactions']]"
Toxicity related to chloroquine treatment of resistant vivax malaria.,"[['chloroquine', 'Toxicity']]","[['chloroquine', 'Toxicity']]"
Leukopenia due to parvovirus B19 in a Crohn's disease patient using azathioprine.,"[['azathioprine', 'Leukopenia']]","[['azathioprine', 'Leukopenia']]"
Pancreatitis has been associated with the tetracycline class of antibiotics and concerns about tigecycline-induced acute pancreatitis have recently been raised.,"[['tigecycline', 'acute pancreatitis']]","[['tigecycline', 'acute pancreatitis'], ['tetracycline', 'acute pancreatitis']]"
I saw two patients with kala-azar resistant to sodium stibogluconate who developed cardiac arrest after amphotericin infusion (in spite of tolerating a test dose).,"[['amphotericin', 'cardiac arrest']]","[['amphotericin', 'cardiac arrest']]"
We present a unique case of GTBM in a patient with myeloma following treatment with Melphalan.,"[['Melphalan', 'GTBM']]","[['Melphalan', 'GTBM']]"
One of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction.,"[['minoxidil', 'arteriosclerotic disease'], ['minoxidil', 'hypertension'], ['minoxidil', 'myocardial infarction']]","[['minoxidil', 'arteriosclerotic disease'], ['minoxidil', 'hypertension'], ['minoxidil','myocardial infarction']]"
"This case emphasizes the importance of the evaluation of lithium-associated polyuria with a direct measurement of plasma vasopressin, interpreted with simultaneous plasma and urine osmolality to secure the correct diagnosis and ensure appropriate therapeutic management.","[['lithium', 'polyuria']]","[['lithium', 'polyuria']]"
Bone formation induced in an infant by systemic prostaglandin-E2 administration.,"[['prostaglandin-E2', 'Bone formation']]","[['prostaglandin-E2', 'Bone formation']]"
We assume that rIFN-gamma induced the de novo development of SLE in our patient.,"[['rIFN-gamma', 'SLE']]","[['rIFN-gamma', 'SLE']]"
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,"[['alendronate', 'hypocalcemic tetany'], ['Fleet Phospho-Soda', 'hypocalcemic tetany'], ['Fosamax', 'hypocalcemic tetany'], ['alendronate', 'hypophosphatemia'], ['Fleet Phospho-Soda', 'hypophosphatemia'], ['Fosamax', 'hypophosphatemia']]","[['Fosamax', 'hypocalcemic tetany'], ['alendronate', 'hypocalcemic tetany'], ['Fleet Phospho-Soda', 'hypocalcemic tetany'], ['Fosamax', 'hypophosphatemia'], ['alendronate', 'hypophosphatemia'], ['Fleet Phospho-Soda', 'hypophosphatemia']]"
The following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,"[['olanzapine', 'uncontrolled diabetes mellitus'], ['olanzapine', 'weight gain']]","[['olanzapine','metabolic changes'], ['olanzapine', 'weight gain']]"
We report on a patient with an embryonal teratocarcinoma of the testicle who had the syndrome of inappropriate secretion of antidiuretic hormone after receiving a high dose of vinblastine.,"[['vinblastine', 'inappropriate secretion of antidiuretic hormone']]","[['vinblastine','syndrome of inappropriate secretion of antidiuretic hormone']]"
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.","[['HU', 'increases in total Hb'], ['SPB', 'increases in total Hb']]","[['HU', 'increases in total Hb'], ['SPB', 'increases in total Hb'], ['HU', 'decreased transfusion needs'], ['SPB', 'decreased transfusion needs']]"
Three patients with no history of asthma or allergy developed bronchospasm while taking propranolol for hypertension.,"[['propranolol', 'bronchospasm']]","[['propranolol', 'bronchospasm']]"
Increased awareness is needed on the possible occurrence of LPD resembling gastric cancer in rheumatoid arthritis patients treated with MTX.,"[['MTX', 'LPD']]","[['MTX', 'LPD']]"
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,"[['paroxetine', 'hair loss']]","[['paroxetine', 'hair loss']]"
CONCLUSION: We believe this to be the first reported case of rhGH-induced hypercalcemia in an HIV-infected patient.,"[['rhGH', 'hypercalcemia']]","[['rhGH', 'hypercalcemia']]"
"The pathogenic mechanisms involved in the development of adriamycin cardiomyopathy are reviewed, and the possible synergistic effect of other antitumor antibiotics is discussed.","[['adriamycin', 'cardiomyopathy']]","[['adriamycin', 'cardiomyopathy']]"
"Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.","[['amphotercin B', 'seizures']]","[['amphotercin B','seizures'], ['phenytoin','seizures']]"
The medical examiner's report indicated death caused by fluoxetine toxicity.,"[['fluoxetine', 'death'], ['fluoxetine', 'fluoxetine toxicity']]","[['fluoxetine', 'death']]"
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,"[['sulfamethoxazole', 'generalized erythema'], ['trimethoprim', 'generalized erythema']]","[['trimethoprim', 'generalized erythema'], ['sulfamethoxazole', 'generalized erythema'], ['trimethoprim', 'high fever'], ['sulfamethoxazole', 'high fever'], ['trimethoprim', 'high fever']]"
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.","[['caffeine', 'caffeine toxicity'], ['caffeine', 'coexisting hyponatremia'], ['caffeine', 'injured the muscle cells'], ['caffeine', 'potassium depletion'], ['caffeine', 'rhabdomyolysis']]","[['caffeine', 'rhabdomyolysis'], ['caffeine', 'caffeine toxicity']]"
Presentation of three palliative care patients who were given ketamine as an analgesic and subsequently developed significant and debilitating urological symptoms.,"[['ketamine', 'urological symptoms']]","[['ketamine', 'debilitating urological symptoms']]"
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,"[['5-FU', 'life-threatening complications']]","[['5-FU', 'DPD deficiency'], ['5-FU', 'life-threatening complications']]"
Ciprofloxacin is one drug that has been reported to cause interstitial nephritis.,"[['Ciprofloxacin', 'interstitial nephritis']]","[['Ciprofloxacin', 'interstitial nephritis']]"
These data indicated that infliximab possibly triggered production of granulocyte and neutrophil autoantibodies with resultant autoimmune agranulocytosis.,"[['infliximab', 'autoimmune agranulocytosis'], ['infliximab', 'production of granulocyte and neutrophil autoantibodies']]","[['infliximab', 'autoimmune agranulocytosis'], ['infliximab', 'granulocyte and neutrophil autoantibodies']]"
Probable enoxaparin-induced hepatotoxicity.,"[['enoxaparin', 'hepatotoxicity']]","[['enoxaparin', 'hepatotoxicity']]"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn.,"[['vigabatrin', 'field defects']]","[['vigabatrin', 'field defects'], ['vigabatrin', 'electrophysiological abnormalities']]"
"To our knowledge, the syndrome of fever, pulmonary infiltrates, and pleural effusion following use of acyclovir has not been previously reported.","[['acyclovir', 'fever'], ['acyclovir', 'pleural effusion'], ['acyclovir', 'pulmonary infiltrates']]","[['acyclovir', 'fever'], ['acyclovir', 'pulmonary infiltrates'], ['acyclovir', 'pleural effusion']]"
Sirolimus-associated hepatotoxicity in the kidney graft recipient.,"[['Sirolimus', 'hepatotoxicity']]","[['Sirolimus', 'hepatotoxicity']]"
"We describe a 63 year old woman with a suppurative mediastinitis, treated with continuous PI irrigation who developed an acute oliguric renal failure.","[['PI', 'acute oliguric renal failure']]","[['PI', 'acute oliguric renal failure']]"
"Even though only a few cases of this adverse event have been reported in the literature, severe docetaxel-induced pulmonary toxicity needs to be considered in the differential diagnosis when such patients present with respiratory symptoms.","[['docetaxel', 'pulmonary toxicity']]","[['docetaxel', 'pulmonary toxicity']]"
Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.,"[['cyclophosphamide', 'Acute erythroid leukemia']]","[['cyclophosphamide', 'Acute erythroid leukemia']]"
Perinatal vasoconstrictive renal insufficiency associated with maternal nimesulide use.,"[['nimesulide', 'renal insufficiency']]","[['nimesulide', 'Perinatal vasoconstrictive renal insufficiency']]"
Insulin-dependent diabetes mellitus developed in a young woman 8 weeks after the initiation of danazol for treatment of pelvic endometriosis.,"[['danazol', 'Insulin-dependent diabetes mellitus']]","[['danazol', 'Insulin-dependent diabetes mellitus']]"
Studies performed 10 years ago on 25 patients with MTX-induced liver cirrhosis indicated that this type of cirrhosis was not of an aggressive nature.,"[['MTX', 'cirrhosis'], ['MTX', 'liver cirrhosis']]","[['MTX', 'liver cirrhosis']]"
Acute myocardial ischemia following accidental intravenous administration of epinephrine in high concentration.,"[['epinephrine', 'Acute myocardial ischemia']]","[['epinephrine', 'Acute myocardial ischemia']]"
Eosinophilic cystitis after bladder instillation with dimethyl sulfoxide.,"[['dimethyl sulfoxide', 'Eosinophilic cystitis']]","[['dimethyl sulfoxide', 'Eosinophilic cystitis']]"
Sideroblastic anemia due to linezolid in a patient with a left ventricular assist device.,"[['linezolid', 'Sideroblastic anemia']]","[['linezolid', 'Sideroblastic anemia']]"
"Since its FDA approval in 2002, there are no known citations of ezetimibe-induced pancreatitis.","[['ezetimibe', 'pancreatitis']]","[['ezetimibe', 'pancreatitis']]"
Electrical proarrhythmia with procainamide: a new ICD-drug interaction.,"[['procainamide', 'Electrical proarrhythmia']]","[['procainamide', 'Electrical proarrhythmia']]"
OBJECTIVE: To report the safe use of fluorouracil in a patient with breast cancer who had allergic reactions to capecitabine.,"[['capecitabine', 'allergic reactions']]","[['capecitabine', 'allergic reactions']]"
"However, prolongation of 5-FU half-life and an increase in INR have been reported with the concurrent use of 5-FU and warfarin.","[['5-FU', 'increase in INR'], ['warfarin', 'increase in INR']]","[['5-FU', 'prolongation of 5-FU half-life'], ['warfarin', 'increase in INR'], ['5-FU', 'increase in INR']]"
"Its overall toxicity is considerably less compared to standard induction chemotherapy; however, it is associated with a high incidence of a potentially fatal symptom complex referred to as ""retinoic acid syndrome."" This report describes a patient with APL who developed the syndrome a few weeks after initiating induction therapy with ATRA despite being treated for hyperleukocytosis.","[['retinoic acid', 'potentially fatal symptom'], ['retinoic acid', 'retinoic acid syndrome'], ['retinoic acid', 'toxicity']]","[['ATRA','retinoic acid syndrome']]"
Sustained ventricular tachycardia in a thalidomide-treated patient with primary plasma-cell leukemia.,"[['thalidomide', 'Sustained ventricular tachycardia']]","[['thalidomide', 'Sustained ventricular tachycardia']]"
One patient had MRI T2 abnormalities compatible with cyclosporin neurotoxicity.,"[['cyclosporin', 'MRI T2 abnormalities'], ['cyclosporin', 'neurotoxicity']]","[['cyclosporin', 'neurotoxicity'], ['cyclosporin', 'MRI T2 abnormalities']]"
Carbamazepine-related hyponatremia following cardiopulmonary bypass.,"[['Carbamazepine', 'hyponatremia']]","[['Carbamazepine', 'hyponatremia']]"
A cause-effect relationship to capecitabine was suggested due to resolution of headache with capecitabine withdrawal and reappearance with capecitabine rechallenge.,"[['capecitabine', 'headache']]","[['capecitabine', 'headache']]"
"Mycobacterium marinum infection complicating Crohn's disease, treated with infliximab.","[['infliximab', 'Mycobacterium marinum infection']]","[['infliximab', 'Mycobacterium marinum infection']]"
The other woman had rheumatoid arthritis and developed acute tubular necrosis after treatment with gentamicin and cefoxitin.,"[['cefoxitin', 'acute tubular necrosis'], ['gentamicin', 'acute tubular necrosis']]","[['gentamicin', 'acute tubular necrosis'], ['cefoxitin', 'acute tubular necrosis']]"
We report a case of fatal fulminant hepatitis caused by the use of disulfiram in a man with previously normal hepatocellular function.,"[['disulfiram', 'fatal fulminant hepatitis']]","[['disulfiram', 'fatal fulminant hepatitis']]"
"In a postural challenge test after administration of isosorbide dinitrate (5 mg), blood pressure decreased from 120/67 to 65/35 mmHg, followed by syncope with a sudden decrease in pulse rate from 85 to 60 beats/min.","[['isosorbide dinitrate', 'blood pressure decreased'], ['isosorbide dinitrate', 'sudden decrease in pulse rate'], ['isosorbide dinitrate', 'syncope']]","[['isosorbide dinitrate','sudden decrease in pulse rate'], ['isosorbide dinitrate', 'blood pressure decreased'], ['isosorbide dinitrate','syncope']]"
FINDINGS: Six children with growth retardation noted after treatment with high-dose fluticasone propionate were found to have adrenal suppression.,"[['fluticasone propionate', 'adrenal suppression'], ['fluticasone propionate', 'growth retardation']]","[['fluticasone propionate', 'adrenal suppression'], ['fluticasone propionate', 'growth retardation']]"
Bisphosphonate induced osteochemonecrosis of the jaw mimicking a tumour.,"[['Bisphosphonate', 'osteochemonecrosis of the jaw']]","[['Bisphosphonate', 'osteochemonecrosis of the jaw']]"
Bradycardia and congestive heart failure associated with ocular timolol maleate.,"[['timolol maleate', 'Bradycardia'], ['timolol maleate', 'congestive heart failure']]","[['timolol maleate', 'Bradycardia'], ['timolol maleate', 'congestive heart failure']]"
"The first known report of quetiapine exacerbating OCS in a 43-year-old man with obsessive-compulsive disorder (OCD), trichotillomania, delusional disorder and bipolar II disorder is presented.","[['quetiapine', 'exacerbating OCS']]","[['quetiapine', 'OCS']]"
"The authors report a case of acute pancreatitis (AP) occurring in a patient under treatment with carbamazepine (CBZ) for post-traumatic petit mal epilepsy, and review the current literature of drug-induced AP.","[['carbamazepine', 'pancreatitis'], ['CBZ', 'pancreatitis']]","[['carbamazepine', 'acute pancreatitis'], ['CBZ', 'acute pancreatitis'], ['carbamazepine', 'AP'], ['CBZ', 'AP'], ['carbamazepine', 'AP'], ['CBZ', 'AP'], ['carbamazepine', 'AP'], ['CBZ', 'AP'], ['carbamazepine', 'AP']]"
"In this report, two newborns with congenital heart anomalies demonstrated the harlequin color change, one whose skin findings showed a course related to the dose of systemic prostaglandin E1, suggesting a possible association.","[['prostaglandin E1', 'harlequin color change']]","[['prostaglandin E1', 'harlequin color change']]"
