input,explanations,gold_relations
Lichenoid drug eruption to salsalate.,Explanation: Explanation: Explanation: Lichenoid drug eruption was caused by salsalate.</s></s></s>,"[['salsalate', 'Lichenoid drug eruption']]"
"This eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication.",Explanation: Explanation: Explanation: An eruption emerged after 1 month of therapy with salsalate and cleared within 3 weeks of discontinuing the medication.</s></s></s>,"[['salsalate', 'eruption']]"
We describe a patient who experienced a lichenoid eruption after the initiation of salsalate for relief of arthritic pain.,Explanation: Explanation: Explanation: Patient experienced lichenoid eruption after the initiation of salsalate for relief of arthritic pain.</s></s></s>,"[['salsalate', 'lichenoid eruption']]"
Amphotericin B-induced seizures in a patient with AIDS.,Explanation: Explanation: Explanation: Seizures occurred in a patient with AIDS after administration of Amphotericin B.</s></s></s>,"[['Amphotericin B', 'seizures']]"
"CASE SUMMARY: A 46-year-old African-American man experienced recurrent grand mal seizures during intravenous infusion of amphotericin B, then petit mal seizures as the infusion was stopped and the drug concentrations decreased with time.",Explanation: Explanation: Explanation: amphotericin B caused grand mal seizures in a 46-year-old African-American man during intravenous infusion.</s></s></s>,"[['amphotericin B', 'grand mal seizures']]"
CONCLUSIONS: Amphotericin B seems to be the probable cause of the seizures.,Explanation: Explanation: Explanation: Amphotericin B was the probable cause of the seizures.</s></s></s>,"[['Amphotericin B', 'seizures']]"
"Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.","Explanation: Explanation: Explanation: Seizures occurred only during amphotercin B administration, despite administration of phenytoin and lorazepam.</s></s></s>","[['amphotercin B', 'seizures']]"
Didanosine also has a potential for inducing seizures.,Explanation: Explanation: Explanation: Didanosine has a potential for inducing seizures.</s></s></s>,"[['Didanosine', 'seizures']]"
OBJECTIVE: To report a case of multiple episodes of seizure activity in an AIDS patent following amphotericin B infusion.,Explanation: Explanation: Explanation: Multiple episodes of seizure activity occurred in an AIDS patient following amphotericin B infusion.</s></s></s>,"[['amphotericin B', 'seizure']]"
The time course of events suggested that amphotericin B was the cause of the seizures in this AIDS patient.,Explanation: Explanation: Explanation: Amphotericin B was the cause of seizures in an AIDS patient.</s></s></s>,"[['amphotericin B', 'seizures']]"
"To date, only three cases of seizures associated with amphotericin B have been reported in the literature, but healthcare providers should be aware of the potential for this rare adverse effect.",Explanation: Explanation: Explanation: Seizures are a rare adverse effect associated with amphotericin B.</s></s></s>,"[['amphotericin B', 'seizures']]"
Vocal cord paralysis as a consequence of peritonsillar infiltration with bupivacaine.,Explanation: Explanation: Explanation: Vocal cord paralysis was a consequence of peritonsillar infiltration with bupivacaine.</s></s></s>,"[['bupivacaine', 'Vocal cord paralysis']]"
We present the case of a 5-year-old girl who developed bilateral vocal cord paralysis following preoperative peritonsillar bupivacaine infiltration.,Explanation: Explanation: Explanation: Bilateral vocal cord paralysis was developed in a 5-year-old girl after preoperative peritonsillar bupivacaine infiltration.</s></s></s>,"[['bupivacaine', 'bilateral vocal cord paralysis']]"
A 53 year old Greenlandic male was admitted twice over a period of 4 years with a new complete right bundle branch block after ingestion of 10 g and 4 g of carbamazepine respectively.,Explanation: Explanation: Explanation: The patient experienced right bundle branch block after ingesting carbamazepine.</s></s></s>,"[['carbamazepine', 'right bundle branch block']]"
Carbamazepine induced right bundle branch block in a Greenlandic patient.,Explanation: Explanation: Explanation: Carbamazepine induced right bundle branch block in a patient from Greenland.</s></s></s>,"[['Carbamazepine', 'right bundle branch block']]"
Cicatricial entropion associated with chronic dipivefrin application.,Explanation: Explanation: Explanation: Cicatricial entropion was associated with chronic dipivefrin application.</s></s></s>,"[['dipivefrin', 'Cicatricial entropion']]"
CONCLUSIONS: Cicatrization in the substantia propria of the conjunctiva by excessive lymphocytic infiltration after topically administered antiglaucoma drugs including dipivefrin is a possible mechanism of action for entropion.,Explanation: Explanation: Explanation: Excessive lymphocytic infiltration after topical administration of dipivefrin was a possible mechanism of action for entropion.</s></s></s>,"[['dipivefrin', 'entropion']]"
"Nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin.",Explanation: Explanation: Explanation: Dipivefrin caused cicatricial entropion in 6 patients after twice-a-day application.</s></s></s>,"[['dipivefrin', 'cicatricial entropion']]"
PURPOSE: To report patients who presented to the oculoplastics department for repair of cicatrical entropion after topical use of dipivefrin.,Explanation: Explanation: Explanation: Topical use of dipivefrin caused cicatrical entropion in patients who presented to the oculoplastics department.</s></s></s>,"[['dipivefrin', 'cicatrical entropion']]"
"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.","Explanation: Explanation: Explanation: Sulphasalazine caused a constellation of dermatitis, fever, lymphadenopathy and hepatitis in a 34-year-old lady.</s></s></s>","[['sulphasalazine', 'constellation of dermatitis'], ['sulphasalazine', 'fever'], ['sulphasalazine', 'hepatitis'], ['sulphasalazine', 'lymphadenopathy']]"
"It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.","Explanation: Explanation: Explanation: It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.</s></s></s>","[['sulphasalazine', 'fatal'], ['sulphasalazine', 'fatal'], ['sulphasalazine', 'immunoallergic reaction'], ['sulphasalazine', 'immunoallergic reaction'], ['sulphasalazine', 'sulphasalazine syndrome'], ['sulphasalazine', 'sulphasalazine syndrome']]"
The 3-week sulphasalazine syndrome strikes again.,Explanation: Explanation: Explanation: Sulphasalazine caused sulphasalazine syndrome.</s></s></s>,"[['sulphasalazine', 'sulphasalazine syndrome']]"
"Interestingly, the use of carboplatin (CBDCA) and VDS in the subsequent treatment course was well tolerated indicating that the SIADH was most likely to have been induced by administration of CDDP.",Explanation: Explanation: Explanation: Administration of CDDP induced SIADH.</s></s></s>,"[['CDDP', 'SIADH']]"
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.,Explanation: Explanation: Explanation: Cisplatin administration caused SIADH (Syndrome of inappropriate secretion of ADH) in a patient with pulmonary adenocarcinoma and malignant pleural effusion.</s></s></s>,"[['cisplatin', 'SIADH'], ['cisplatin', 'Syndrome of inappropriate secretion of ADH']]"
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).,"Explanation: Explanation: Explanation: Systemic chemotherapy with CDDP, cisplatin, VDS, and vindesine caused SIADH and the syndrome of inappropriate secretion of antidiuretic hormone in a patient with pulmonary adenocarcinoma.</s></s></s>","[['CDDP', 'SIADH'], ['cisplatin', 'SIADH'], ['VDS', 'SIADH'], ['vindesine', 'SIADH'], ['CDDP', 'syndrome of inappropriate secretion of antidiuretic hormone'], ['cisplatin', 'syndrome of inappropriate secretion of antidiuretic hormone'], ['VDS', 'syndrome of inappropriate secretion of antidiuretic hormone'], ['vindesine', 'syndrome of inappropriate secretion of antidiuretic hormone']]"
"After extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.",Explanation: Explanation: Explanation: Scopolamine patch caused anisocoria after prescribed for weaning off the opioid.</s></s></s>,"[['scopolamine', 'anisocoria']]"
Anisocoria from transdermal scopolamine.,Explanation: Explanation: Explanation: Anisocoria was caused by transdermal scopolamine.</s></s></s>,"[['scopolamine', 'Anisocoria']]"
De novo absence status of late onset following withdrawal of lorazepam: a case report.,Explanation: Explanation: Explanation: De novo absence status occurred following withdrawal of lorazepam.</s></s></s>,"[['lorazepam', 'De novo absence status']]"
The aim of this report is to describe the clinical and electroencephalographic findings seen in an elderly woman without previous history of seizures who developed a nonconvulsive generalized status epilepticus following acute withdrawal of lorazepam.,Explanation: Explanation: Explanation: Acute withdrawal of lorazepam caused nonconvulsive generalized status epilepticus in an elderly woman.</s></s></s>,"[['lorazepam', 'nonconvulsive generalized status epilepticus']]"
Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.,Explanation: Explanation: Explanation: Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.</s></s></s>,"[['vincristine', 'life-threatening vincristine neurotoxicity']]"
"Recognizing early signs of HMSN, such as areflexia and pes cavus deformity, can prevent severe neurotoxicity of polychemotherapy by avoiding vincristine.","Explanation: Explanation: Explanation: Vincristine can cause severe neurotoxicity, which can be prevented by recognizing early signs of HMSN.</s></s></s>","[['vincristine', 'severe neurotoxicity']]"
The disease predisposes to severe vincristine neurotoxicity.,Explanation: Explanation: Explanation: Vincristine neurotoxicity is a severe side effect of vincristine.</s></s></s>,"[['vincristine', 'vincristine neurotoxicity']]"
We report a 31-year-old women with recurrent Hodgkin's lymphoma and unrecognized HMSN-1 who developed severe motor neuropathy 3 weeks after the first cycle of treatment including 2 mg of vincristine.,Explanation: Explanation: Explanation: Vincristine caused severe motor neuropathy in a 31-year-old women with recurrent Hodgkin's lymphoma and unrecognized HMSN-1.</s></s></s>,"[['vincristine', 'severe motor neuropathy']]"
Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.,Explanation: Explanation: Explanation: A healthy normal volunteer experienced asymptomatic hepatitis after exposure to two oral doses of amodiaquine and artesunate.</s></s></s>,"[['amodiaquine', 'asymptomatic hepatitis'], ['artesunate', 'asymptomatic hepatitis']]"
This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate.,Explanation: Explanation: Explanation: Unexpected drug-induced hepatitis occurred in a young woman exposed to amodiaquine and artesunate.</s></s></s>,"[['amodiaquine', 'hepatitis'], ['artesunate', 'hepatitis']]"
Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).,Explanation: Explanation: Explanation: Systemic allergic contact dermatitis was caused by 8-methoxypsoralen (8-MOP).</s></s></s>,"[['8-methoxypsoralen', 'Systemic allergic contact dermatitis'], ['8-MOP', 'Systemic allergic contact dermatitis']]"
We describe a patient who had a systemic allergic contact dermatitis to 8-MOP develop during her second course of PUVA treatment for psoriasis.,Explanation: Explanation: Explanation: Systemic allergic contact dermatitis occurred in a patient during their second course of PUVA treatment with 8-MOP.</s></s></s>,"[['8-MOP', 'systemic allergic contact dermatitis']]"
"A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.","Explanation: Explanation: Explanation: The patient presented with confusion, abdominal pain, and distention due to the abuse of benztropine.</s></s></s>","[['benztropine', 'abdominal pain'], ['benztropine', 'confusion'], ['benztropine', 'distention']]"
Agranulocytosis and granulocytopenia associated with quetiapine.,Explanation: Explanation: Explanation: Agranulocytosis and granulocytopenia were associated with quetiapine.</s></s></s>,"[['quetiapine', 'Agranulocytosis'], ['quetiapine', 'granulocytopenia']]"
"CONCLUSION: Although a definite association has not been proven, clinicians should be aware of the possibility of agranulocytosis while using quetiapine.",Explanation: Explanation: Explanation: Clinicians should be aware of the possibility of agranulocytosis while using quetiapine.</s></s></s>,"[['quetiapine', 'agranulocytosis']]"
METHOD: We describe three case-reports concerning haematological adverse effects of quetiapine.,Explanation: Explanation: Explanation: Three case-reports described haematological adverse effects of quetiapine.</s></s></s>,"[['quetiapine', 'haematological adverse effects']]"
RESULTS: Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.,Explanation: Explanation: Explanation: Quetiapine was associated with leucopenia and agranulocytosis in three patients.</s></s></s>,"[['Quetiapine', 'agranulocytosis'], ['Quetiapine', 'leucopenia']]"
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.,Explanation: Explanation: Explanation: Ofloxacin induced toxic epidermal necrolysis is reported in very little published information.</s></s></s>,"[['ofloxacin', 'toxic epidermal necrolysis']]"
"However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.",Explanation: Explanation: Explanation: A case-control study reported three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use.</s></s></s>,"[['ofloxacin', 'Stevens-Johnson syndrome'], ['ofloxacin', 'toxic epidermal necrolysis']]"
It is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.,Explanation: Explanation: Explanation: This case report suggests that ofloxacin can induce toxic epidermal necrolysis.</s></s></s>,"[['ofloxacin', 'toxic epidermal necrolysis']]"
OBJECTIVE: To report a fatal case of toxic epidermal necrolysis in a man who was treated with oral ofloxacin for epididymitis.,Explanation: Explanation: Explanation: A fatal case of toxic epidermal necrolysis was reported in a man who was treated with ofloxacin for epididymitis.</s></s></s>,"[['ofloxacin', 'toxic epidermal necrolysis']]"
Ofloxacin: a probable cause of toxic epidermal necrolysis.,Explanation: Explanation: Explanation: Ofloxacin was a probable cause of toxic epidermal necrolysis.</s></s></s>,"[['Ofloxacin', 'toxic epidermal necrolysis']]"
This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.,Explanation: Explanation: Explanation: Ofloxacin is implicated in drug-induced toxic epidermal necrolysis in an atypical presentation.</s></s></s>,"[['ofloxacin', 'toxic epidermal necrolysis'], ['ofloxacin', 'toxic epidermal necrolysis']]"
A boy with chronic neutropenia and recurrent inflammatory skin lesions developed multiple erythematous nodules following administration of G-CSF.,Explanation: Explanation: Explanation: G-CSF administration caused multiple erythematous nodules in a boy with chronic neutropenia and recurrent inflammatory skin lesions.</s></s></s>,"[['G-CSF', 'multiple erythematous nodules']]"
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.,Explanation: Explanation: Explanation: Neutrophilic dermatoses was associated with G-CSF therapy in two children with idiopathic neutropenia.</s></s></s>,"[['G-CSF', 'Neutrophilic dermatoses'], ['granulocyte colony-stimulating factor', 'Neutrophilic dermatoses']]"
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.,Explanation: Explanation: Explanation: Two children receiving G-CSF for treatment of idiopathic neutropenia had painful neutrophilic skin lesions.</s></s></s>,"[['G-CSF', 'neutrophilic skin lesions'], ['granulocyte colony-stimulating factor', 'neutrophilic skin lesions'], ['G-CSF', 'Painful'], ['granulocyte colony-stimulating factor', 'Painful']]"
We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.,Explanation: Explanation: Explanation: G-CSF therapy can induce or aggravate neutrophilic dermatoses and skin eruptions.</s></s></s>,"[['G-CSF', 'neutrophilic dermatoses'], ['G-CSF', 'skin eruptions']]"
There is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.,Explanation: Explanation: Explanation: Liothyronine administration may have a role in precipitating or activating hyperthyroidism.</s></s></s>,"[['liothyronine', 'hyperthyroidism']]"
Triiodothyronine-induced thyrotoxicosis in ophthalmic Graves disease.,Explanation: Explanation: Explanation: Triiodothyronine induced thyrotoxicosis in ophthalmic Graves disease.</s></s></s>,"[['Triiodothyronine', 'thyrotoxicosis']]"
This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment.,Explanation: Explanation: Explanation: Adjunctive tiagabine treatment caused asymptomatic visual field defects in a psychiatric patient.</s></s></s>,"[['tiagabine', 'VFDs'], ['tiagabine', 'visual field defects']]"
Pulmonary toxicity with mefloquine.,Explanation: Explanation: Explanation: Pulmonary toxicity was reported with mefloquine.</s></s></s>,"[['mefloquine', 'Pulmonary toxicity']]"
This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine.,Explanation: Explanation: Explanation: Mefloquine caused acute lung injury and diffuse alveolar damage.</s></s></s>,"[['mefloquine', 'acute lung injury'], ['mefloquine', 'diffuse alveolar damage']]"
"This report presents a case of acute lung injury developing within hours after administration of mefloquine for a low-level Plasmodium falciparum malaria, which was persistent despite halofantrine therapy.",Explanation: Explanation: Explanation: Administration of mefloquine caused acute lung injury in a case of low-level Plasmodium falciparum malaria.</s></s></s>,"[['mefloquine', 'acute lung injury']]"
An adult male presented with central blindness after ingesting methanol.,Explanation: Explanation: Explanation: Methanol caused central blindness in an adult male after ingestion.</s></s></s>,"[['methanol', 'central blindness']]"
Reversal of severe methanol-induced visual impairment: no evidence of retinal toxicity due to fomepizole.,Explanation: Explanation: Explanation: Methanol induced visual impairment was reversed with no evidence of retinal toxicity due to fomepizole.</s></s></s>,"[['methanol', 'visual impairment']]"
Extra caution should be taken in using octreotide or its long-acting analog in patients otherwise predisposed to intrahepatic bile stasis.,Explanation: Explanation: Explanation: Octreotide or its long-acting analog can cause intrahepatic bile stasis if used in predisposed patients.</s></s></s>,"[['octreotide', 'intrahepatic bile stasis']]"
Gallstones and bile sludge are common side effects of octreotide therapy but rarely become symptomatic or require treatment.,Explanation: Explanation: Explanation: Common side effects of octreotide therapy are bile sludge and Gallstones.</s></s></s>,"[['octreotide', 'bile sludge'], ['octreotide', 'Gallstones']]"
Hepatolithiasis (intrahepatic stone) during octreotide therapy for acromegaly: a case report.,Explanation: Explanation: Explanation: Hepatolithiasis occurred during octreotide therapy for acromegaly.</s></s></s>,"[['octreotide', 'Hepatolithiasis']]"
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.","Explanation: Explanation: Explanation: Octreotide has known effects on gallbladder stasis, alters bile acid composition, and may hasten intrahepatic sludge and stone formation.</s></s></s>","[['octreotide', 'alters bile acid composition'], ['octreotide', 'gallbladder stasis'], ['octreotide', 'hasten intrahepatic sludge'], ['octreotide', 'stone formation']]"
This is the first reported case of hepatolithiasis during octreotide therapy.,Explanation: Explanation: Explanation: This is the first reported case of hepatolithiasis caused by octreotide therapy.</s></s></s>,"[['octreotide', 'hepatolithiasis']]"
We report a case of hepatolithiasis (intrahepatic stone) complicated by gram-negative sepsis in a 37 year old male with acromegaly being treated with octreotide.,Explanation: Explanation: Explanation: Octreotide caused hepatolithiasis (intrahepatic stone) in a 37 year old male with acromegaly.</s></s></s>,"[['octreotide', 'hepatolithiasis']]"
"However, in the mid-to-late 1980s, a series of letters to the editor and case reports announced an association between tamoxifen therapy in women with breast cancer and the development of endometrial carcinoma.",Explanation: Explanation: Explanation: Tamoxifen therapy in women with breast cancer was associated with the development of endometrial carcinoma.</s></s></s>,"[['tamoxifen', 'endometrial carcinoma']]"
"In this healthy population, the relative risk of developing endometrial carcinoma in the tamoxifen arm was 2.54, although when stratified by age, in women over 50, the risk grew to 4.01.",Explanation: Explanation: Explanation: Tamoxifen was associated with an increased risk of developing endometrial carcinoma in a healthy population.</s></s></s>,"[['tamoxifen', 'endometrial carcinoma']]"
"INH, which is a leading cause of drug eruptions in the above group of drugs was withdrawn.","Explanation: Explanation: Explanation: INH was a leading cause of drug eruptions in the group of drugs, and was withdrawn.</s></s></s>","[['INH', 'drug eruptions']]"
Isonicotinic acid hydrazide induced anagen effluvium and associated lichenoid eruption.,Explanation: Explanation: Explanation: Isonicotinic acid hydrazide caused anagen effluvium and lichenoid eruption.</s></s></s>,"[['Isonicotinic acid hydrazide', 'anagen effluvium'], ['Isonicotinic acid hydrazide', 'lichenoid eruption']]"
Such anagen effluvium with lichenoid eruption following INH therapy has not been observed previously.,Explanation: Explanation: Explanation: Anagen effluvium with lichenoid eruption was observed after INH therapy.</s></s></s>,"[['INH', 'anagen effluvium'], ['INH', 'lichenoid eruption']]"
Linear IgA bullous dermatosis occurring after carbamazepine.,Explanation: Explanation: Explanation: Carbamazepine caused Linear IgA bullous dermatosis.</s></s></s>,"[['carbamazepine', 'Linear IgA bullous dermatosis']]"
We report a patient who experienced LABD shortly after starting carbamazepine therapy.,Explanation: Explanation: Explanation: Patient experienced LABD shortly after starting carbamazepine therapy.</s></s></s>,"[['carbamazepine', 'LABD']]"
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.","Explanation: Explanation: Explanation: Following symptoms were associated with metoclopramide, agitation, confusion, diaphoresis, fever, hypertension, tachycardia, and tachypnea.</s></s></s>","[['metoclopramide', 'agitation'], ['metoclopramide', 'confusion'], ['metoclopramide', 'diaphoresis'], ['metoclopramide', 'fever'], ['metoclopramide', 'hypertension'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachypnea']]"
"CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.","Explanation: Explanation: Explanation: Patients receiving sertraline, venlafaxine and metoclopramide are at risk of serotonin syndrome and extrapyramidal reactions.</s></s></s>","[['metoclopramide', 'extrapyramidal reactions'], ['sertraline', 'extrapyramidal reactions'], ['venlafaxine', 'extrapyramidal reactions'], ['metoclopramide', 'serotonin syndrome'], ['sertraline', 'serotonin syndrome'], ['venlafaxine', 'serotonin syndrome']]"
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.,Explanation: Explanation: Explanation: Extrapyramidal movement disorders and serotonin syndrome occurred when metoclopramide was coadministered with sertraline or venlafaxine.</s></s></s>,"[['metoclopramide', 'extrapyramidal movement disorders'], ['sertraline', 'extrapyramidal movement disorders'], ['venlafaxine', 'extrapyramidal movement disorders'], ['metoclopramide', 'serotonin syndrome'], ['sertraline', 'serotonin syndrome'], ['venlafaxine', 'serotonin syndrome']]"
Serotonin syndrome caused by selective serotonin reuptake-inhibitors-metoclopramide interaction.,Explanation: Explanation: Explanation: Serotonin syndrome was caused by interaction between metoclopramide and selective serotonin reuptake-inhibitors.</s></s></s>,"[['metoclopramide', 'Serotonin syndrome']]"
"She was administered metoclopramide because of nausea and, within 2 hours, developed agitation, dysarthria, diaphoresis, and a movement disorder.","Explanation: Explanation: Explanation: Metoclopramide administration caused agitation, diaphoresis, dysarthria, and a movement disorder in the patient.</s></s></s>","[['metoclopramide', 'agitation'], ['metoclopramide', 'diaphoresis'], ['metoclopramide', 'dysarthria'], ['metoclopramide', 'movement disorder']]"
"She was admitted following a fall and, after being given metoclopramide, developed movement disorder and a period of unresponsiveness.",Explanation: Explanation: Explanation: Metoclopramide caused movement disorder and unresponsiveness after a fall.</s></s></s>,"[['metoclopramide', 'movement disorder'], ['metoclopramide', 'unresponsiveness']]"
A patient suffering from a rare enzyme deficiency developed a malignant neuroleptic syndrome after having been treated with one single dose of haloperidol.,Explanation: Explanation: Explanation: Haloperidol caused malignant neuroleptic syndrome in a patient suffering from a rare enzyme deficiency.</s></s></s>,"[['haloperidol', 'malignant neuroleptic syndrome']]"
BACKGROUND: reports on delated cutaneous reactions to captopril have been seldom reported.,Explanation: Explanation: Explanation: Delated cutaneous reactions to captopril have been reported.</s></s></s>,"[['captopril', 'delated cutaneous reactions']]"
"Captopril is an angiotensin-converting enzyme (ACE) inhibitor and their cutaneous side-effects are documented, but little has been published concerning the usefulness of patch test when they occur.",Explanation: Explanation: Explanation: Captopril is an ACE inhibitor and its cutaneous side-effects were documented.</s></s></s>,"[['Captopril', 'cutaneous side-effects']]"
Dermatitis to captopril.,Explanation: Explanation: Explanation: Dermatitis was caused by captopril.</s></s></s>,"[['captopril', 'Dermatitis']]"
We presented the case of a patient who developed a cutaneous reaction induced by captopril with positive patch test.,Explanation: Explanation: Explanation: Captopril caused a cutaneous reaction in the patient with positive patch test.</s></s></s>,"[['captopril', 'cutaneous reaction']]"
A 62-year-old Caucasian man with atrial fibrillation who was taking warfarin reported an episode of hematochezia; his international normalized ratio (INR) was 1.74.,Explanation: Explanation: Explanation: Warfarin caused hematochezia in the patient.</s></s></s>,"[['warfarin', 'hematochezia']]"
Warfarin-associated bleeding complication saved life.,Explanation: Explanation: Explanation: Warfarin caused bleeding complication which saved the life.</s></s></s>,"[['Warfarin', 'bleeding']]"
"Warfarin-associated bleeding generally is considered deleterious; however, in our patient it unmasked an early stage of colon cancer and thus may have saved the patient's life.","Explanation: Explanation: Explanation: Warfarin caused bleeding in the patient, which led to the discovery of an early stage of colon cancer.</s></s></s>","[['Warfarin', 'bleeding']]"
A case of polymyositis with dilated cardiomyopathy associated with interferon alpha treatment for hepatitis B.,Explanation: Explanation: Explanation: Interferon alpha treatment for hepatitis B caused dilated cardiomyopathy and polymyositis in a case.</s></s></s>,"[['interferon alpha', 'dilated cardiomyopathy'], ['interferon alpha', 'polymyositis']]"
"In this case, interferon alpha induced polymyositis and cardiomyopathy is diagnosed in a 33-yr-old male patient with history of chronic hepatitis B.",Explanation: Explanation: Explanation: Interferon alpha induced both cardiomyopathy and polymyositis in a 33-yr-old male patient with chronic hepatitis B.</s></s></s>,"[['interferon alpha', 'cardiomyopathy'], ['interferon alpha', 'polymyositis']]"
Polymyositis is a rare complication of interferon alpha treatment as a result of immune-modulating role of the drug itself.,Explanation: Explanation: Explanation: Polymyositis is a rare complication of interferon alpha treatment due to its immune-modulating role.</s></s></s>,"[['interferon alpha', 'Polymyositis']]"
"To treat hepatitis B, interferon alpha was administered until the proximal muscle weakness developed.",Explanation: Explanation: Explanation: Muscle weakness developed in a patient who was treated with interferon alpha for hepatitis B.</s></s></s>,"[['interferon alpha', 'muscle weakness']]"
Long-term follow-up after neoplastic seeding complicating percutaneous ethanol injection for treatment of hepatocellular carcinoma.,Explanation: Explanation: Explanation: Neoplastic seeding occurred as a complication of percutaneous ethanol injection for treatment of hepatocellular carcinoma.</s></s></s>,"[['ethanol', 'neoplastic seeding']]"
We describe a case of subcutaneous metastasis along the needle track after percutaneous ethanol injection (PEI) for treatment of hepatocellular carcinoma.,Explanation: Explanation: Explanation: Subcutaneous metastasis occurred along the needle track after percutaneous ethanol injection.</s></s></s>,"[['ethanol', 'subcutaneous metastasis']]"
Aggressive endometrial carcinoma in a breast cancer patient treated with tamoxifen with normal transvaginal ultrasonography.,Explanation: Explanation: Explanation: Aggressive endometrial carcinoma was observed in a breast cancer patient treated with tamoxifen.</s></s></s>,"[['tamoxifen', 'Aggressive endometrial carcinoma']]"
"Since tamoxifen therapy can induce endometrial disorders, surveillance schemes of women taking tamoxifen have been recommended.","Explanation: Explanation: Explanation: Tamoxifen therapy can induce endometrial disorders, and surveillance schemes have been recommended for women taking tamoxifen.</s></s></s>","[['tamoxifen', 'endometrial disorders'], ['tamoxifen', 'endometrial disorders']]"
"We described a very atypical case of a high stage, high grade endometrial cancer associated with tamoxifen in a 64-year-old woman with a past history of breast cancer.","Explanation: Explanation: Explanation: Tamoxifen was associated with a high stage, high grade endometrial cancer in a 64-year-old woman.</s></s></s>","[['tamoxifen', 'endometrial cancer']]"
"Beginning ductopenia was present in two, suggesting that itraconazole might be responsible for the occurrence of prolonged drug-induced cholangiopathy.",Explanation: Explanation: Explanation: Itraconazole was responsible for the occurrence of cholangiopathy and beginning ductopenia.</s></s></s>,"[['itraconazole', 'cholangiopathy'], ['itraconazole', 'ductopenia']]"
"CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.","Explanation: Explanation: Explanation: Itraconazole induced liver injury presented with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.</s></s></s>","[['Itraconazole', 'cholestatic pattern of injury'], ['Itraconazole', 'damage to the interlobular bile ducts'], ['Itraconazole', 'ductopenia'], ['Itraconazole', 'liver injury']]"
