input,relations,prefix,gold_relations
conclusions: the 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.,"[['valproate', 'reproductive endocrine disorders']]",ADE,"[['valproate', 'reproductive endocrine disorders']]"
conclusions: there was a temporal relationship between the onset of nonconvulsive status epilepticus and initiation of ifosfamide infusion.,"[['ifosfamide', 'nonconvulsive status epilepticus']]",ADE,"[['ifosfamide', 'nonconvulsive status epilepticus']]"
conclusions: this is the second case report that describes gemcitabine-induced radiation recall in rectus abdominus muscles after gemcitabine-based radiation therapy.,"[['gemcitabine', 'radiation recall']]",ADE,"[['gemcitabine', 'radiation recall']]"
conclusions: this study confirmed that in most patients mtx-induced liver cirrhosis is not aggressive.,"[['mtx', 'liver cirrhosis']]",ADE,"[['mtx', 'liver cirrhosis']]"
concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,"[['methotrexate', 'concurrent acute megaloblastic anaemia and pneumonitis'], ['methotrexate', 'concurrent acute megaloblastic anaemia and pneumonitis']]",ADE,"[['methotrexate', 'concurrent acute megaloblastic anaemia'], ['methotrexate', 'pneumonitis']]"
corneal edema recurred when the administration of amantadine was resumed.,"[['amantadine', 'corneal edema']]",ADE,"[['amantadine', 'corneal edema']]"
cryptococcus neoformans fatal sepsis in a chronic lymphocytic leukemia patient treated with alemtuzumab: case report and review of the literature.,"[['alemtuzumab', 'cryptococcus neoformans fatal sepsis']]",ADE,"[['alemtuzumab', 'cryptococcus neoformans fatal sepsis']]"
"cutaneous rashes and eruptions can be caused by many medications, including carbamazepine.","[['carbamazepine', 'cutaneous rashes and eruptions'], ['carbamazepine', 'cutaneous rashes and eruptions']]",ADE,"[['carbamazepine', 'cutaneous rashes'], ['carbamazepine', 'eruptions']]"
cyclophosphamide can rarely cause interstitial pneumonitis and fibrosis.,"[['cyclophosphamide', 'fibrosis'], ['cyclophosphamide', 'interstitial pneumonitis']]",ADE,"[['cyclophosphamide', 'fibrosis'], ['cyclophosphamide', 'interstitial pneumonitis']]"
d-penicillamine induced crescentic glomerulonephritis: report and review of the literature.,"[['d-penicillamine', 'crescentic glomerulonephritis']]",ADE,"[['d-penicillamine', 'crescentic glomerulonephritis']]"
delayed hypersensitivity to flurbiprofen.,"[['flurbiprofen', 'delayed hypersensitivity']]",ADE,"[['flurbiprofen', 'delayed hypersensitivity']]"
dental and gingival pain as side effects of niacin therapy.,"[['niacin', 'dental and gingival pain']]",ADE,"[['niacin', 'dental and gingival pain']]"
"despite a postulated dopaminergic mechanism, there seems to have been only one previous report of amantadine's precipitating psychosis in a schizophrenic patient.","[['amantadine', 'psychosis']]",ADE,"[['amantadine', 'precipitating psychosis']]"
development of crohn's disease in a patient with multiple sclerosis treated with copaxone.,"[['copaxone', ""crohn's disease""]]",ADE,"[['copaxone', ""crohn's disease""]]"
development of peyronie's disease during long-term colchicine treatment.,"[['colchicine', ""peyronie's disease""]]",ADE,"[['colchicine', ""peyronie's disease""]]"
development of sarcoidosis during interferon alpha 2b and ribavirin combination therapy for chronic hepatitis c--a case report and review of the literature.,"[['interferon alpha 2b', 'sarcoidosis'], ['ribavirin', 'sarcoidosis']]",ADE,"[['interferon alpha 2b', 'sarcoidosis'], ['ribavirin', 'sarcoidosis']]"
diagnosis of hypothyroidism during treatment can be difficult because of the common side effects of alpha interferon.,"[['alpha interferon', 'hypothyroidism']]",ADE,"[['alpha interferon', 'hypothyroidism']]"
diclofenac-associated hepatitis.,"[['diclofenac', 'hepatitis']]",ADE,"[['diclofenac', 'hepatitis']]"
diffusion-weighted mri correlates of subacute methotrexate-related neurotoxicity.,"[['methotrexate', 'diffusion-weighted mri correlates of subacute methotrexate-related neurotoxicity']]",ADE,"[['methotrexate', 'neurotoxicity']]"
digestive hemorrhage caused by a meckel's diverticulum in a metformin-treated patient: is there any connection?,"[['metformin', 'digestive hemorrhage']]",ADE,"[['metformin', 'digestive hemorrhage']]"
dilated cardiomyopathy associated with chronic overuse of an adrenaline inhaler.,"[['adrenaline', 'dilated cardiomyopathy']]",ADE,"[['adrenaline', 'dilated cardiomyopathy']]"
diphenhydramine-induced wide complex dysrhythmia responds to treatment with sodium bicarbonate.,"[['diphenhydramine', 'wide complex dysrhythmia']]",ADE,"[['diphenhydramine', 'dysrhythmia']]"
dipyrone-induced granulocytopenia: a case for awareness.,"[['dipyrone', 'granulocytopenia']]",ADE,"[['dipyrone', 'granulocytopenia']]"
discussion: anaphylactoid reactions have been described previously with cisplatin administration.,"[['cisplatin', 'anaphylactoid reactions']]",ADE,"[['cisplatin', 'anaphylactoid reactions']]"
"discussion: colchicine, the most important drug in treatment of fmf, can cause myopathy in patients with impaired renal and hepatic function.","[['colchicine', 'myopathy']]",ADE,"[['colchicine', 'myopathy']]"
"discussion: olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum ck of muscle origin.","[['olanzapine', 'muscle injury']]",ADE,"[['olanzapine', 'muscle injury with concomitant elevations of serum ck']]"
discussion: to our knowledge this is the first reported case of tuberculous uveitis following treatment with etanercept.,"[['etanercept', 'tuberculous uveitis']]",ADE,"[['etanercept', 'tuberculous uveitis']]"
disseminated cellulitic cryptococcosis in the setting of prednisone monotherapy for pemphigus vulgaris.,"[['prednisone', 'disseminated cellulitic cryptococcosis']]",ADE,"[['prednisone', 'disseminated cellulitic cryptococcosis']]"
disseminated eruptive giant mollusca contagiosa in an adult psoriasis patient during efalizumab therapy.,"[['efalizumab', 'disseminated eruptive giant mollusca contagiosa']]",ADE,"[['efalizumab', 'disseminated eruptive giant mollusca contagiosa']]"
disulfiram-like reactions with newer cephalosporins: cefmenoxime.,"[['cefmenoxime', 'disulfiram-like reactions']]",ADE,"[['cefmenoxime', 'disulfiram-like reactions']]"
drug-induced mammary hyperplasias have been reported as rare complications of d-penicillamine and neothetazone.,"[['d-penicillamine', 'mammary hyperplasias'], ['neothetazone', 'mammary hyperplasias']]",ADE,"[['d-penicillamine', 'mammary hyperplasias'], ['neothetazone', 'mammary hyperplasias']]"
drug-induced psychosis resulted from the administration of quinacrine hydrochloride at a dosage of 100 mg twice daily for the treatment of discoid lupus.,"[['quinacrine hydrochloride', 'drug-induced psychosis']]",ADE,"[['quinacrine hydrochloride', 'psychosis']]"
"due to the increasing use of tmp-smx in children, clinicians should be aware of this potentially life-threatening, immunemediated hypersensitivity reaction.","[['tmp-smx', 'immunemediated hypersensitivity reaction']]",ADE,"[['tmp-smx', 'immunemediated hypersensitivity reaction']]"
"due to the severity of the rash, temozolomide was permanently discontinued.","[['temozolomide', 'rash']]",ADE,"[['temozolomide', 'rash']]"
during and after ifn therapy we should consider the possibility of occurrence of iddm as well as other autoimmune diseases and observe the clinical course carefully.,"[['ifn', 'iddm']]",ADE,"[['ifn', 'iddm']]"
"during dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.","[['omeprazole', 'peripheral edema'], ['pantoprazole', 'peripheral edema']]",ADE,"[['omeprazole', 'peripheral edema'], ['pantoprazole', 'peripheral edema']]"
dystonia associated with carbamazepine administration: experience in brain-damaged children.,"[['carbamazepine', 'dystonia']]",ADE,"[['carbamazepine', 'dystonia']]"
early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,"[['lisinopril', 'multiorgan failure']]",ADE,"[['lisinopril', 'multiorgan failure']]"
early recognition of renal toxicity of high-dose methotrexate therapy: a case report.,"[['methotrexate', 'renal toxicity']]",ADE,"[['methotrexate', 'renal toxicity']]"
easily reversible hypoxemia and hypotension induced by nimodipine.,"[['nimodipine', 'hypotension'], ['nimodipine', 'hypoxemia']]",ADE,"[['nimodipine', 'hypotension'], ['nimodipine', 'hypoxemia']]"
electrical proarrhythmia with procainamide: a new icd-drug interaction.,"[['procainamide', 'electrical proarrhythmia']]",ADE,"[['procainamide', 'electrical proarrhythmia']]"
encephalopathy and seizures induced by intravesical alum irrigations.,"[['alum', 'encephalopathy'], ['alum', 'seizures']]",ADE,"[['alum', 'encephalopathy'], ['alum', 'seizures']]"
"eosinophilia caused by clozapine was observed in challenge, preceded by a faster neutrophil production and consecutive decrease (z = 2.27, p = 0.01).","[['clozapine', 'eosinophilia']]",ADE,"[['clozapine', 'eosinophilia']]"
epoprostenol may be associated rarely with severe erythroderma.,"[['epoprostenol', 'erythroderma']]",ADE,"[['epoprostenol', 'erythroderma']]"
epstein-barr virus-associated lymphoproliferative disorder in a patient with rheumatoid arthritis on methotrexate and rofecoxib: idiosyncratic reaction or pharmacogenetics?,"[['methotrexate', 'epstein-barr virus-associated lymphoproliferative disorder'], ['rofecoxib', 'epstein-barr virus-associated lymphoproliferative disorder']]",ADE,"[['methotrexate', 'epstein-barr virus-associated lymphoproliferative disorder'], ['rofecoxib', 'epstein-barr virus-associated lymphoproliferative disorder']]"
erythema multiforme associated with phenytoin and cranial radiation therapy: a report of three patients and review of the literature.,"[['phenytoin', 'erythema multiforme']]",ADE,"[['phenytoin', 'erythema multiforme']]"
ethambutol toxicity manifesting as acute onset psychosis.,"[['ethambutol', 'psychosis']]",ADE,"[['ethambutol', 'acute onset psychosis']]"
"even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.","[['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia']]",ADE,"[['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia']]"
exacerbation of anthracycline-induced early chronic cardiomyopathy with atra: role of b-type natriuretic peptide as an indicator of cardiac dysfunction.,"[['anthracycline', 'early chronic cardiomyopathy']]",ADE,"[['anthracycline', 'early chronic cardiomyopathy']]"
extensive immunological investigations were performed in a patient with definite seronegative rheumatoid arthritis who developed hypogammaglobulinemia in the course of gold therapy.,"[['gold', 'hypogammaglobulinemia']]",ADE,"[['gold', 'hypogammaglobulinemia']]"
"extrapyramidal side effects induced by some selective serotonin reuptake inhibitors (ssris), i.e. fluoxetine and sertraline, have been previously reported in patients with depression and obsessive-compulsive disorder (ocd).","[['fluoxetine', 'extrapyramidal side effects'], ['sertraline', 'extrapyramidal side effects']]",ADE,"[['fluoxetine', 'extrapyramidal side effects'], ['sertraline', 'extrapyramidal side effects']]"
falling backward in two elderly patients taking bupropion.,"[['bupropion', 'falling backward']]",ADE,"[['bupropion', 'falling backward']]"
fatal acute tubular necrosis occurred in 1 patient in whom intravesical formalin was used to control massive persistent hemorrhage from radiation cystitis.,"[['formalin', 'acute tubular necrosis']]",ADE,"[['formalin', 'fatal acute tubular necrosis']]"
"fatal agranulocytosis in an indian male receiving 100mg of dapsone daily, hospitalized for mid-borderline leprosy in type i reaction with triple nerve paralysis is reported.","[['dapsone', 'agranulocytosis']]",ADE,"[['dapsone', 'fatal agranulocytosis']]"
"fatal pulmonary fibrosis associated with bcnu: the relative role of platelet-derived growth factor-b, insulin-like growth factor i, transforming growth factor-beta1 and cyclooxygenase-2.","[['bcnu', 'fatal pulmonary fibrosis']]",ADE,"[['bcnu', 'fatal pulmonary fibrosis']]"
fatal radiation myelopathy after high-dose busulfan and melphalan chemotherapy and radiotherapy for ewing's sarcoma: a review of the literature and implications for practice.,"[['busulfan', 'fatal radiation myelopathy'], ['melphalan', 'fatal radiation myelopathy']]",ADE,"[['busulfan', 'fatal radiation myelopathy'], ['melphalan', 'fatal radiation myelopathy']]"
fibrosis of corpus cavernosum after intracavernous injection of phentolamine/papaverine.,"[['papaverine', 'corpus cavernosum'], ['phentolamine', 'corpus cavernosum']]",ADE,"[['papaverine', 'fibrosis of corpus cavernosum'], ['phentolamine', 'fibrosis of corpus cavernosum']]"
fixed drug eruption of the scrotum due to methylphenidate.,"[['methylphenidate', 'fixed drug eruption']]",ADE,"[['methylphenidate', 'fixed drug eruption of the scrotum']]"
"flecainide overdose can rapidly result in profound cardiovascular collapse, and is associated with a relatively high mortality.","[['flecainide', 'cardiovascular collapse']]",ADE,"[['flecainide', 'cardiovascular collapse']]"
flucloxacillin-induced aplastic anaemia and liver failure.,"[['flucloxacillin', 'aplastic anaemia'], ['flucloxacillin', 'liver failure']]",ADE,"[['flucloxacillin', 'aplastic anaemia'], ['flucloxacillin', 'liver failure']]"
fluoxetine-induced akathisia: clinical and theoretical implications.,"[['fluoxetine', 'akathisia']]",ADE,"[['fluoxetine', 'akathisia']]"
focal renal cortical necrosis associated with zomepirac.,"[['zomepirac', 'focal renal cortical necrosis']]",ADE,"[['zomepirac', 'focal renal cortical necrosis']]"
four chinese female patients who suffered from manic-depressive disorder and underlying autoimmune thyroiditis developed transient episodes of thyrotoxicosis during maintenance lithium therapy.,"[['lithium', 'thyrotoxicosis']]",ADE,"[['lithium', 'thyrotoxicosis']]"
"fsgs induced by adriamycin (pharmacia & upjohn, columbus, oh) has been observed experimentally in rats.","[['adriamycin', 'fsgs']]",ADE,"[['adriamycin', 'fsgs']]"
fulminant hepatitis associated with disulfiram.,"[['disulfiram', 'fulminant hepatitis']]",ADE,"[['disulfiram', 'fulminant hepatitis']]"
generalised cutaneous rash associated with ganciclovir therapy has rarely been reported in literature.,"[['ganciclovir', 'generalised cutaneous rash']]",ADE,"[['ganciclovir', 'generalised cutaneous rash']]"
generalized argyria after habitual use of agno3.,"[['agno3', 'generalized argyria']]",ADE,"[['agno3', 'generalized argyria']]"
gold-induced aplastic anemia.,"[['gold', 'aplastic anemia']]",ADE,"[['gold', 'aplastic anemia']]"
granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.,"[['clozapine', 'agranulocytosis'], ['clozapine', 'granulocytopenia']]",ADE,"[['clozapine', 'agranulocytosis'], ['clozapine', 'granulocytopenia']]"
"gynecomastia in epileptics treated with phenobarbital, phenytoin and fluoresone: two case reports.","[['fluoresone', 'gynecomastia'], ['phenobarbital', 'gynecomastia'], ['phenytoin', 'gynecomastia']]",ADE,"[['fluoresone', 'gynecomastia'], ['phenobarbital', 'gynecomastia'], ['phenytoin', 'gynecomastia']]"
"he had been taking trimethoprim-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of headaches, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted.","[['trimethoprim-sulfamethoxazole', 'difficulty with speech'], ['trimethoprim-sulfamethoxazole', 'difficulty with speech'], ['trimethoprim-sulfamethoxazole', 'dizziness'], ['trimethoprim-sulfamethoxazole', 'dizziness'], ['trimethoprim-sulfamethoxazole', 'headaches'], ['trimethoprim-sulfamethoxazole', 'headaches'], ['trimethoprim-sulfamethoxazole', 'itching'], ['trimethoprim-sulfamethoxazole', 'itching'], ['trimethoprim-sulfamethoxazole', 'maculopapular rash'], ['trimethoprim-sulfamethoxazole', 'maculopapular rash'], ['trimethoprim-sulfamethoxazole', 'weakness'], ['trimethoprim-sulfamethoxazole', 'weakness']]",ADE,"[['sulfamethoxazole', 'difficulty with speech'], ['trimethoprim', 'difficulty with speech'], ['sulfamethoxazole', 'dizziness'], ['trimethoprim', 'dizziness'], ['sulfamethoxazole', 'headaches'], ['trimethoprim', 'headaches'], ['sulfamethoxazole', 'itching on the trunk'], ['trimethoprim', 'itching on the trunk'], ['sulfamethoxazole', 'maculopapular rash'], ['trimethoprim', 'maculopapular rash'], ['sulfamethoxazole', 'weakness'], ['trimethoprim', 'weakness']]"
heat stroke in schizophrenia during clozapine treatment: rapid recognition and management.,"[['clozapine', 'heat stroke']]",ADE,"[['clozapine', 'heat stroke']]"
hemolytic uremic syndrome following the infusion of oxaliplatin: case report.,"[['oxaliplatin', 'hemolytic uremic syndrome']]",ADE,"[['oxaliplatin', 'hemolytic uremic syndrome']]"
heparin-associated thrombocytopenia and thrombosis is a severe complication of systemic heparin therapy.,"[['heparin', 'heparin-associated thrombocytopenia and thrombosis'], ['heparin', 'heparin-associated thrombocytopenia and thrombosis'], ['heparin', 'heparin-associated thrombocytopenia and thrombosis'], ['heparin', 'heparin-associated thrombocytopenia and thrombosis']]",ADE,"[['heparin', 'thrombocytopenia'], ['heparin', 'thrombocytopenia'], ['heparin', 'thrombosis'], ['heparin', 'thrombosis']]"
hepatic angiosarcoma occurring after cyclophosphamide therapy: case report and review of the literature.,"[['cyclophosphamide', 'hepatic angiosarcoma']]",ADE,"[['cyclophosphamide', 'hepatic angiosarcoma']]"
hepatitis following cimetidine administration.,"[['cimetidine', 'hepatitis']]",ADE,"[['cimetidine', 'hepatitis']]"
hepatotoxicity associated with choline magnesium trisalicylate: case report and review of salicylate-induced hepatotoxicity.,"[['choline magnesium trisalicylate', 'hepatotoxicity'], ['choline magnesium trisalicylate', 'hepatotoxicity']]",ADE,"[['salicylate', 'hepatotoxicity'], ['choline magnesium trisalicylate', 'hepatotoxicity']]"
hepatotoxicity associated with use of d-penicillamine in rheumatoid arthritis.,"[['d-penicillamine', 'hepatotoxicity']]",ADE,"[['d-penicillamine', 'hepatotoxicity']]"
hepatotoxicity of hycanthone in patients with metastatic breast cancer.,"[['hycanthone', 'hepatotoxicity']]",ADE,"[['hycanthone', 'hepatotoxicity']]"
"here we describe another case of vod occurring after lt, but in which the causative role was played by azathioprine.","[['azathioprine', 'vod']]",ADE,"[['azathioprine', 'vod']]"
here we present the case of a generalized lichen nitidus with involvement of the palms in a patient with hepatitis c after systemic treatment with interferon alpha and ribavirin.,"[['interferon alpha', 'generalized lichen nitidus'], ['ribavirin', 'generalized lichen nitidus']]",ADE,"[['interferon alpha', 'generalized lichen nitidus'], ['ribavirin', 'generalized lichen nitidus']]"
herein is reported an unusual case of coexistent warfarin-induced skin necrosis and heparin-induced thrombocytopenia following mitral valve replacement for thromboembolic phenomena associated with marantic endocarditis and bronchial adenocarcinoma.,"[['warfarin', 'skin necrosis'], ['heparin', 'thrombocytopenia']]",ADE,"[['warfarin', 'skin necrosis'], ['heparin', 'thrombocytopenia']]"
"herein, we describe a patient with aids who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (r-epoch) for diffuse large b-cell lymphoma.","[['cyclophosphamide', 'pancytopenia'], ['doxorubicin', 'pancytopenia'], ['etoposide', 'pancytopenia'], ['prednisone', 'pancytopenia'], ['rituximab', 'pancytopenia'], ['vincristine', 'pancytopenia']]",ADE,"[['cyclophosphamide', 'pancytopenia'], ['doxorubicin', 'pancytopenia'], ['etoposide', 'pancytopenia'], ['prednisone', 'pancytopenia'], ['rituximab', 'pancytopenia'], ['vincristine', 'pancytopenia']]"
his impaired memory was found to be due to the atenolol he was on and he made a complete recovery on withdrawing the beta-blocker.,"[['atenolol', 'impaired memory']]",ADE,"[['atenolol', 'impaired memory']]"
his symptoms of brain stem compression were alleviated and the role of phenytoin in the production of his craniocervical abnormality is discussed.,"[['phenytoin', 'craniocervical abnormality']]",ADE,"[['phenytoin', 'craniocervical abnormality']]"
"however, adenosine shortens the antegrade refractoriness of accessory atrioventricular connections and may cause acceleration of the ventricular rate during atrial fibrillation.","[['adenosine', 'acceleration of the ventricular rate']]",ADE,"[['adenosine', 'acceleration of the ventricular rate']]"
"however, as illustrated by these and other cases reported to date, the onset of troglitazone-induced liver injury is insidious and temporally variable.","[['troglitazone', 'liver injury']]",ADE,"[['troglitazone', 'liver injury']]"
"however, cyclosporine dependency is associated with the risk of nephrotoxicity.","[['cyclosporine', 'nephrotoxicity']]",ADE,"[['cyclosporine', 'nephrotoxicity']]"
"however, dermatologists should be cautious about a photosensitivity reaction induced by mequitazine or other phenothiazine-derivative drugs.","[['mequitazine', 'photosensitivity reaction']]",ADE,"[['mequitazine', 'photosensitivity']]"
"however, there are few reports in the literature of ampicillin as a cause of acute interstitial nephritis.","[['ampicillin', 'acute interstitial nephritis']]",ADE,"[['ampicillin', 'acute interstitial nephritis']]"
human insulin-induced lipoatrophy.,"[['insulin', 'lipoatrophy']]",ADE,"[['human insulin', 'lipoatrophy']]"
hus has been reported after several anticancer chemotherapies and most often after mitomycin c-based chemotherapy regimens.,"[['mitomycin c', 'hus']]",ADE,"[['mitomycin c', 'hus']]"
hydroxyurea associated with concomitant occurrence of diffuse longitudinal melanonychia and multiple squamous cell carcinomas in an elderly subject.,"[['hydroxyurea', 'diffuse longitudinal melanonychia'], ['hydroxyurea', 'multiple squamous cell carcinomas']]",ADE,"[['hydroxyurea', 'diffuse longitudinal melanonychia'], ['hydroxyurea', 'multiple squamous cell carcinomas']]"
hyponatraemia during low-dose carbamazepine therapy.,"[['carbamazepine', 'hyponatraemia']]",ADE,"[['carbamazepine', 'hyponatraemia']]"
ibuprofen rarely causes lower gastrointestinal adverse reactions but has been implicated in systemic and local side effects in patients with lupus.,"[['ibuprofen', 'lower gastrointestinal adverse reactions']]",ADE,"[['ibuprofen', 'gastrointestinal adverse reactions']]"
ibuprofen-induced meningitis: detection of intrathecal igg synthesis and immune complexes.,"[['ibuprofen', 'meningitis']]",ADE,"[['ibuprofen', 'meningitis']]"
"in addition, ethambutol rarely causes visual loss during the early period or when given at lower doses.","[['ethambutol', 'visual loss']]",ADE,"[['ethambutol', 'visual loss']]"
"in addition, there is a report on prolonged ect seizure related to ciprofloxacin, which has an epileptogenic property with a similar action to beta-lactam antibiotics.","[['ciprofloxacin', 'ect seizure']]",ADE,"[['ciprofloxacin', 'prolonged ect seizure']]"
"in all the patients, pellagra symptoms appeared during isoniazid therapy.","[['isoniazid', 'pellagra']]",ADE,"[['isoniazid', 'pellagra']]"
in both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,"[['pyridostigmine', 'rippling phenomena']]",ADE,"[['pyridostigmine', 'rippling phenomena worsened']]"
"in keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and bleomycin treatment.","[['bleomycin', 'aortic wall']]",ADE,"[['bleomycin', 'aortic wall in this case was damaged']]"
"in one patient, treatment with dca was associated with a decrease in blood lactate levels from 11.2 mm before treatment to 0.8 mm 16 h later.","[['dca', 'lactate levels']]",ADE,"[['dca', 'decrease in blood lactate levels']]"
"in our patient, an objective causality scale showed that therapeutic doses of colchicine for fmf were the definite cause of myopathy, even though his renal and hepatic function were normal.","[['colchicine', 'myopathy']]",ADE,"[['colchicine', 'myopathy']]"
"in patients with a known access to inh, seizures should be considered to be caused by inh toxicity unless proved otherwise.","[['inh', 'seizures']]",ADE,"[['inh', 'seizures']]"
"in patients with methotrexate-induced anaphylaxis, discontinuation of treatment may increase the risk of death due to cancer progression.","[['methotrexate', 'anaphylaxis']]",ADE,"[['methotrexate', 'anaphylaxis']]"
"in the first patient, two episodes of ventricular tachycardia requiring cardioversion occurred in close temporal sequence with administering bretylium.","[['bretylium', 'ventricular tachycardia']]",ADE,"[['bretylium', 'ventricular tachycardia']]"
"in the present paper, we describe two patients with active uc who developed a severe systemic cmv infection during a treatment with an oral microemulsion form of cyclosporine.","[['cyclosporine', 'systemic cmv infection']]",ADE,"[['cyclosporine', 'severe systemic cmv infection']]"
"in the presented case fluvoxamine-induced akathisia in an ocd patient was partially resistant to the anticholinergic agent biperiden, and was successfully treated with the 5-ht2a/5-ht2c antagonist mianserin.","[['fluvoxamine', 'akathisia']]",ADE,"[['fluvoxamine', 'akathisia']]"
"in this article, we describe a japanese patient with severe interstitial pneumonia probably caused by sorafenib treatment for metastatic renal cell carcinoma.","[['sorafenib', 'interstitial pneumonia']]",ADE,"[['sorafenib', 'severe interstitial pneumonia']]"
"in this case, interferon alpha induced polymyositis and cardiomyopathy is diagnosed in a 33-yr-old male patient with history of chronic hepatitis b.","[['interferon alpha', 'cardiomyopathy'], ['interferon alpha', 'polymyositis']]",ADE,"[['interferon alpha', 'cardiomyopathy'], ['interferon alpha', 'polymyositis']]"
"in this report, two cases of et which evolved into al without prior exposure to radiation or alkylating agents, and which were treated with long-term hydroxyurea therapy, are described.","[['hydroxyurea', 'al']]",ADE,"[['hydroxyurea', 'al']]"
"in this report, we describe a fatal gemcitabine-induced pulmonary toxicity in a patient with gallbladder metastatic adenocarcinoma.","[['gemcitabine', 'pulmonary toxicity']]",ADE,"[['gemcitabine', 'pulmonary toxicity']]"
"in this study, we report on three individual patients who received btx-b and who subsequently developed parasympathetic dysfunction of the visual system after injections of btx-b at remote sites.","[['btx-b', 'parasympathetic dysfunction of the visual system'], ['btx-b', 'parasympathetic dysfunction of the visual system']]",ADE,"[['btx-b', 'parasympathetic dysfunction of the visual system'], ['btx-b', 'parasympathetic dysfunction of the visual system']]"
indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.,"[['indinavir', 'chronic interstitial nephritis'], ['indinavir', 'nephrolithiasis']]",ADE,"[['indinavir', 'interstitial nephritis'], ['indinavir', 'nephrolithiasis']]"
indolent aspergillus arthritis complicating fludarabine-based non-myeloablative stem cell transplantation.,"[['fludarabine', 'indolent aspergillus arthritis']]",ADE,"[['fludarabine', 'aspergillus arthritis']]"
initiation of posaconazole led to clinical improvement until the patient's demise from bacteremic vancomycin-resistant enterococcal peritonitis.,"[['posaconazole', 'vancomycin-resistant enterococcal peritonitis']]",ADE,"[['posaconazole', 'enterococcal peritonitis']]"
insulin-induced cardiac failure.,"[['insulin', 'cardiac failure']]",ADE,"[['insulin', 'cardiac failure']]"
interferon-alpha-induced hyperthyroidism: a three-stage evolution from silent thyroiditis towards graves' disease.,"[['interferon-alpha', 'hyperthyroidism']]",ADE,"[['interferon-alpha', 'hyperthyroidism']]"
"interferon-based treatments have the potential to decrease the burden of disease, but are complicated by side effects, including neuropsychiatric symptoms.","[['interferon', 'neuropsychiatric symptoms']]",ADE,"[['interferon', 'neuropsychiatric symptoms']]"
interventions and results: cardiac complications were observed in five pediatric patients who received between 4.6 and 40.8 mg/kg/d of amphotericin b.,"[['amphotericin b', 'cardiac complications']]",ADE,"[['amphotericin b', 'cardiac complications']]"
intrahepatic cholestasis and cutaneous bullae associated with glibenclamide therapy.,"[['glibenclamide', 'cutaneous bullae'], ['glibenclamide', 'intrahepatic cholestasis']]",ADE,"[['glibenclamide', 'cutaneous bullae'], ['glibenclamide', 'intrahepatic cholestasis']]"
intravenous diazepam exacerbated the seizures.,"[['diazepam', 'seizures']]",ADE,"[['diazepam', 'seizures']]"
"intravenous haloperidol is generally well tolerated, but multiform ventricular tachycardia has been reported.","[['haloperidol', 'multiform ventricular tachycardia']]",ADE,"[['haloperidol', 'multiform ventricular tachycardia']]"
"isoniazid associated, painful, bilateral gynaecomastia.","[['isoniazid', 'bilateral gynaecomastia']]",ADE,"[['isoniazid', 'bilateral gynaecomastia']]"
"isoniazid inhibits the conversion of tryptophan to niacin and may induce pellagra, particularly in poorly nourished patients.","[['isoniazid', 'pellagra']]",ADE,"[['isoniazid', 'pellagra']]"
"isotretinoin, a drug used for the treatment of acne, has been shown to have teratogenic effects.","[['isotretinoin', 'teratogenic effects']]",ADE,"[['isotretinoin', 'teratogenic effects']]"
it has been suggested that ppe caused by cytarabine does not recur with subsequent cytarabine re-challenge.,"[['cytarabine', 'ppe']]",ADE,"[['cytarabine', 'ppe']]"
"it is concluded that 'cerebral atrophy' on ct scans may represent an accumulative effect of acth and that acth should be given with the utmost discretion, and in as low a dose as possible.","[['acth', 'cerebral atrophy']]",ADE,"[['acth', 'cerebral atrophy']]"
it is concluded that siadh is an important side effect of lorcainide therapy.,"[['lorcainide', 'siadh']]",ADE,"[['lorcainide', 'siadh']]"
