text,gpt3_generated_labels,gold_labels
"here we report a patient with newly diagnosed acute promyelocytic leukemia who developed acute focal myositis, synovitis, and possible vasculitis, after receiving all-trans retinoic acid therapy.","[['all-trans retinoic acid', 'acute promyelocytic leukemia']]","[['all-trans retinoic acid', 'acute focal myositis'], ['all-trans retinoic acid', 'possible vasculitis'], ['all-trans retinoic acid', 'synovitis']]"
"this eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication.","[['salsalate', 'eruption']]","[['salsalate', 'eruption']]"
warfarin-associated bleeding complication saved life.,"[['warfarin', 'bleeding complication']]","[['warfarin', 'bleeding']]"
acute myocardial necrosis during administration of amsacrine.,"[['amsacrine', 'acute myocardial necrosis']]","[['amsacrine', 'acute myocardial necrosis']]"
"the authors present a case of t-aml that developed in a child with metastatic neuroblastoma 18 months after he received oral etoposide, given for palliation purpose.","[['etoposide', 't-aml']]","[['etoposide', 't-aml']]"
"this entity is probably related to a combination of high doses of corticosteroids, vecuronium administration and metabolic abnormalities associated with respiratory failure.","[['corticosteroids', 'vecuronium', 'metabolic abnormalities']]","[['vecuronium', 'respiratory failure']]"
successful desensitization to high-dose methotrexate after systemic anaphylaxis.,"[['methotrexate', 'anaphylaxis']]","[['methotrexate', 'systemic anaphylaxis']]"
hepatotoxicity of hycanthone in patients with metastatic breast cancer.,"[['hycanthone', 'hepatotoxicity']]","[['hycanthone', 'hepatotoxicity']]"
renal tubular acidosis secondary to fk506 in living donor liver transplantation: a case report.,"[['fk506', 'renal tubular acidosis']]","[['fk506', 'renal tubular acidosis']]"
this is the first histologically confirmed case of nash that was aggravated by raloxifene.,"[['raloxifene', 'nash']]","[['raloxifene', 'nash']]"
"these cases and a review of the literature suggested that hepatotoxicity, though rare, should be added to the list of adverse reactions to d-penicillamine.","[['d-penicillamine', 'hepatotoxicity']]","[['d-penicillamine', 'hepatotoxicity']]"
this report presents a potential case of risperidone-induced tardive dyskinesia.,"[['risperidone', 'tardive dyskinesia']]","[['risperidone', 'tardive dyskinesia']]"
"we report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or raynaud phenomenon.","[['methylphenidate', 'acral cyanosis'], ['dextroamphetamine', 'acral cyanosis']]","[['dextroamphetamine', 'acral cyanosis'], ['methylphenidate', 'acral cyanosis'], ['dextroamphetamine', 'livedo reticularis'], ['methylphenidate', 'livedo reticularis'], ['dextroamphetamine', 'raynaud phenomenon'], ['methylphenidate', 'raynaud phenomenon']]"
apparent central nervous system depression in infants after the use of topical brimonidine.,"[['brimonidine', 'central nervous system depression']]","[['brimonidine', 'central nervous system depression']]"
objective: to describe a probable case of transient global amnesia caused by propafenone.,"[['propafenone', 'transient global amnesia']]","[['propafenone', 'transient global amnesia']]"
acute renal failure in a patient receiving treatment with suramin.,"[['suramin', 'acute renal failure']]","[['suramin', 'acute renal failure']]"
"conclusion: this is, to our knowledge, the first report of severe myelopathy following accidental intrathecal administration of doxorubicin.","[['doxorubicin', 'severe myelopathy']]","[['doxorubicin', 'severe myelopathy']]"
"we observed 3 diabetic patients with intolerable dizziness followed by nausea and vomiting immediately after an initial administration of the alpha-glucosidase inhibitor, voglibose.","[['voglibose', 'dizziness']]","[['voglibose', 'intolerable dizziness'], ['voglibose', 'nausea'], ['voglibose', 'vomiting']]"
transient hemiparesis caused by phenytoin toxicity.,"[['phenytoin', 'hemiparesis']]","[['phenytoin', 'transient hemiparesis']]"
dental and gingival pain as side effects of niacin therapy.,"[['niacin', 'dental and gingival pain']]","[['niacin', 'dental and gingival pain']]"
his symptoms of brain stem compression were alleviated and the role of phenytoin in the production of his craniocervical abnormality is discussed.,"[['phenytoin', 'craniocervical abnormality']]","[['phenytoin', 'craniocervical abnormality']]"
"one patient had a lower average heart rate and two patients had lower average mean blood pressure values during propranolol treatment, none of which was clinically significant.","[['propranolol', 'lower average heart rate'], ['propranolol', 'lower average mean blood pressure values']]","[['propranolol', 'lower average heart rate'], ['propranolol', 'lower average mean blood pressure']]"
sle receded after withdrawal of carbamazepine and treatment with anti-inflammatory drugs.,"[['carbamazepine', 'sle']]","[['carbamazepine', 'sle']]"
"the present report suggests that clarithromycin coadministration induces increased plasma carbamazepine concentrations, which may result in carbamazepine toxicity.","[['carbamazepine', 'clarithromycin']]","[['carbamazepine', 'carbamazepine toxicity'], ['carbamazepine', 'carbamazepine toxicity'], ['clarithromycin', 'carbamazepine toxicity'], ['carbamazepine', 'increased plasma carbamazepine'], ['carbamazepine', 'increased plasma carbamazepine'], ['clarithromycin', 'increased plasma carbamazepine']]"
we believe that the acute renal failure in our patient was associated with anastrozole.,"[['anastrozole', 'acute renal failure']]","[['anastrozole', 'acute renal failure']]"
epoprostenol may be associated rarely with severe erythroderma.,"[['epoprostenol', 'erythroderma']]","[['epoprostenol', 'erythroderma']]"
we report an unusual case of simultaneous transitional cell carcinoma of the renal pelvis and distal ureter without transitional cell carcinoma of the bladder occurring after chronic cyclophosphamide therapy for nonhodgkin's lymphoma.,"[['cyclophosphamide', 'transitional cell carcinoma']]","[['cyclophosphamide', 'distal ureter without transitional cell carcinoma of the bladder'], ['cyclophosphamide', 'transitional cell carcinoma of the renal pelvis']]"
"flecainide overdose can rapidly result in profound cardiovascular collapse, and is associated with a relatively high mortality.","[['flecainide', 'cardiovascular collapse']]","[['flecainide', 'cardiovascular collapse']]"
nephrogenic diabetes insipidus (ndi) is a well-documented complication of lithium use.,"[['lithium', 'nephrogenic diabetes insipidus']]","[['lithium', 'ndi'], ['lithium', 'nephrogenic diabetes insipidus']]"
the oligohidrosis caused by zonisamide was reversible in that the patient regained the ability to sweat within 2 weeks of the cessation of drug administration.,"[['zonisamide', 'oligohidrosis']]","[['zonisamide', 'oligohidrosis']]"
focal renal cortical necrosis associated with zomepirac.,"[['zomepirac', 'focal renal cortical necrosis']]","[['zomepirac', 'focal renal cortical necrosis']]"
dipyrone-induced granulocytopenia: a case for awareness.,"[['dipyrone', 'granulocytopenia']]","[['dipyrone', 'granulocytopenia']]"
the literature on thiabendazole-induced cholestasis and its association with sicca complex is reviewed.,"[['thiabendazole', 'cholestasis'], ['thiabendazole', 'sicca complex']]","[['thiabendazole', 'cholestasis'], ['thiabendazole', 'sicca complex']]"
this report describes a case of neuroleptic malignant syndrome due to risperidone in a child with joubert syndrome.,"[['risperidone', 'neuroleptic malignant syndrome']]","[['risperidone', 'neuroleptic malignant syndrome']]"
"although there is one case report of cholesterol crystal embolization following t-pa therapy with only extrarenal manifestations (n engl j med 321:1270, 1989), this is the first reported case of atheroembolic acute renal failure following t-pa therapy.","[['t-pa', 'atheroembolic acute renal failure']]","[['t-pa', 'atheroembolic acute renal failure'], ['t-pa', 'cholesterol crystal embolization'], ['t-pa', 'extrarenal manifestations']]"
"fsgs induced by adriamycin (pharmacia & upjohn, columbus, oh) has been observed experimentally in rats.","[['adriamycin', 'fsgs']]","[['adriamycin', 'fsgs']]"
purpose: the occurrence of myoclonus associated with continuous i.v. infusion of dobutamine in a patient with end-stage renal disease (esrd) is described.,"[['dobutamine', 'myoclonus']]","[['dobutamine', 'myoclonus']]"
"diagnosis: severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound t-cell lymphocytopenia and simultaneous opportunistic infections with pneumocystis jiroveci pneumonia, brain abscess with listeria monocytogenes, and cutaneous kaposi's sarcoma.","[['corticosteroids', 'pneumocystis jiroveci pneumonia'], ['corticosteroids', 'brain abscess'], ['corticosteroids', ""cutaneous kaposi's sarcoma""]]","[['temozolomide', 'brain abscess with listeria monocytogenes'], ['temozolomide', ""cutaneous kaposi's sarcoma""], ['temozolomide', 'immunosuppression'], ['temozolomide', 'infections with pneumocystis jiroveci pneumonia'], ['temozolomide', 't-cell lymphocytopenia']]"
"hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.","[['aspirin', 'hypersensitivity']]","[['aspirin', 'angioedema'], ['aspirin', 'systemic anaphylactoid reaction'], ['aspirin', 'urticaria']]"
intrahepatic cholestasis and cutaneous bullae associated with glibenclamide therapy.,"[['glibenclamide', 'intrahepatic cholestasis'], ['glibenclamide', 'cutaneous bullae']]","[['glibenclamide', 'cutaneous bullae'], ['glibenclamide', 'intrahepatic cholestasis']]"
"cutaneous rashes and eruptions can be caused by many medications, including carbamazepine.","[['carbamazepine', 'cutaneous rashes and eruptions']]","[['carbamazepine', 'cutaneous rashes'], ['carbamazepine', 'eruptions']]"
acute kidney injury caused by zonisamide-induced hypersensitivity syndrome.,"[['zonisamide', 'acute kidney injury']]","[['zonisamide', 'acute kidney injury'], ['zonisamide', 'hypersensitivity syndrome']]"
heat stroke in schizophrenia during clozapine treatment: rapid recognition and management.,"[['clozapine', 'heat stroke']]","[['clozapine', 'heat stroke']]"
generalised cutaneous rash associated with ganciclovir therapy has rarely been reported in literature.,"[['ganciclovir', 'generalised cutaneous rash']]","[['ganciclovir', 'generalised cutaneous rash']]"
"that review suggested that patients receiving anti-d igiv be monitored for those and other potential complications of hemoglobinemia, particularly disseminated intravascular coagulation (dic).","[['anti-d igiv', 'hemoglobinemia'], ['anti-d igiv', 'disseminated intravascular coagulation (dic)']]","[['anti-d igiv', 'dic'], ['anti-d igiv', 'disseminated intravascular coagulation'], ['anti-d igiv', 'hemoglobinemia']]"
arterial hypertension associated with topical ocular use of phenylephrine in dogs.,"[['phenylephrine', 'arterial hypertension']]","[['phenylephrine', 'arterial hypertension']]"
heparin-associated thrombocytopenia and thrombosis is a severe complication of systemic heparin therapy.,"[['heparin', 'heparin-associated thrombocytopenia and thrombosis']]","[['heparin', 'thrombocytopenia'], ['heparin', 'thrombocytopenia'], ['heparin', 'thrombosis'], ['heparin', 'thrombosis']]"
dilated cardiomyopathy associated with chronic overuse of an adrenaline inhaler.,"[['adrenaline', 'dilated cardiomyopathy']]","[['adrenaline', 'dilated cardiomyopathy']]"
"we present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.","[['venlafaxine', 'acute myocardial ischaemia']]","[['venlafaxine', 'acute myocardial ischaemia']]"
mechanisms and triggering factors of hypoglycaemia induced by mefloquine and some other anti-malarial quinine analogues are discussed.,"[['mefloquine', 'hypoglycaemia']]","[['mefloquine', 'hypoglycaemia']]"
"major points illustrated are, (1) occurrence of hit with any dose or form of heparin; (2) misperceptions on the diagnostic criteria; (3) correct (thrombin inhibitors) and incorrect (platelet transfusions and warfarin) management; (4) influence of management strategy on clinical outcomes; (5) severity of the syndrome; and (6) potential for both anamnestic response to heparin and disappearance of hit antibodies over time.","[['heparin', 'hit']]","[['heparin', 'hit']]"
"based on the naranjo probability scale, serotonin syndrome was a probable adverse reaction associated with co-administration of citalopram and fentanyl.","[['citalopram', 'fentanyl', 'serotonin syndrome']]","[['citalopram', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome']]"
"isoniazid inhibits the conversion of tryptophan to niacin and may induce pellagra, particularly in poorly nourished patients.","[['isoniazid', 'pellagra']]","[['isoniazid', 'pellagra']]"
we report the case of a young healthy woman who presented an early overanticoagulation when receiving acenocoumarol for a first thromboembolic episode.,"[['acenocoumarol', 'overanticoagulation']]","[['acenocoumarol', 'overanticoagulation']]"
red blood cell anemia in a patient with pemphigus vulgaris induced by the use of mycophenolate mofetil and prednisone.,"[['mycophenolate mofetil', 'red blood cell anemia']]","[['mycophenolate mofetil', 'red blood cell anemia'], ['prednisone', 'red blood cell anemia']]"
he was later skin tested to confirm allergy to mtx.,"[['mtx', 'skin tested']]","[['mtx', 'allergy']]"
"we present two cases in which both patients suffered with cls, which we believe was caused following administration of granulocyte colony-stimulating factor, to our knowledge not described in the intensive care patient previously.","[['granulocyte colony-stimulating factor', 'cls']]","[['granulocyte colony-stimulating factor', 'cls']]"
cyclophosphamide can rarely cause interstitial pneumonitis and fibrosis.,"[['cyclophosphamide', 'interstitial pneumonitis'], ['cyclophosphamide', 'fibrosis']]","[['cyclophosphamide', 'fibrosis'], ['cyclophosphamide', 'interstitial pneumonitis']]"
we report the case of an 11-year-old female treated for mediastinal t-cell lymphoma who presented renal failure following the second cycle of high-dose methotrexate (hdmtx).,"[['methotrexate', 'renal failure']]","[['hdmtx', 'renal failure'], ['methotrexate', 'renal failure']]"
naproxen is a commonly used nonsteroidal anti-inflammatory drug (nsaid) whose side effects include tinnitus and transient hearing loss.,"[['naproxen', 'tinnitus'], ['naproxen', 'transient hearing loss']]","[['naproxen', 'tinnitus'], ['naproxen', 'transient hearing loss']]"
neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (g-csf) therapy.,"[['g-csf', 'neutrophilic dermatoses']]","[['g-csf', 'neutrophilic dermatoses'], ['granulocyte colony-stimulating factor', 'neutrophilic dermatoses']]"
adenosine-induced ventricular fibrillation.,"[['adenosine', 'ventricular fibrillation']]","[['adenosine', 'ventricular fibrillation']]"
a 40-year-old man with a long standing history of rheumatoid arthritis was treated with mtx over a 6 month period and developed an overwhelming hepatic necrosis.,"[['mtx', 'hepatic necrosis']]","[['mtx', 'overwhelming hepatic necrosis']]"
"we present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial hrct showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.","[['nitrofurantoin', 'pulmonary toxicity']]","[['nitrofurantoin', 'distortion of the lung parenchyma'], ['nitrofurantoin', 'fibrosis'], ['nitrofurantoin', 'pulmonary toxicity'], ['nitrofurantoin', 'widespread reticular pattern']]"
"objective: to report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl.","[['fentanyl', 'serotonin syndrome'], ['citalopram', 'serotonin syndrome']]","[['citalopram', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome']]"
these observations indicate that submassive hepatic necrosis may result from treatment with propylthiouracil and are consistent with the notion that sensitization mechanisms may be responsible for the hepatic injury induced by this drug.,"[['propylthiouracil', 'hepatic necrosis']]","[['propylthiouracil', 'hepatic injury'], ['propylthiouracil', 'submassive hepatic necrosis']]"
a combination of behavioural and cognitive adverse effects is illustrated in this case report of a recurrent triazolam-induced eating disorder.,"[['triazolam', 'eating disorder']]","[['triazolam', 'eating disorder']]"
"thus, the possible in vivo effects of insulin on adipocytes were clearly observed in this case of insulin-induced lipohypertrophy.","[['insulin', 'lipohypertrophy']]","[['insulin', 'lipohypertrophy']]"
"cases: ""a"" was an 8-year-old boy with attention deficit and chronic tic disorder who developed obsessive-compulsive symptoms within 2 weeks of starting risperidone.","[['risperidone', 'obsessive-compulsive symptoms']]","[['risperidone', 'obsessive-compulsive symptoms']]"
usefulness of antiplatelet drugs in the management of heparin-associated thrombocytopenia and thrombosis.,"[['antiplatelet drugs', 'heparin-associated thrombocytopenia and thrombosis']]","[['heparin', 'thrombocytopenia'], ['heparin', 'thrombosis']]"
"we strongly suspect that this lethal anuria was mainly due to ifosfamide, occurring in a patient having received previous cisplatin chemotherapy and with poor kidney perfusion due to transient hypotension.","[['ifosfamide', 'anuria']]","[['ifosfamide', 'lethal anuria']]"
acute bilateral phrenic neuropathy following treatment with adalimumab.,"[['adalimumab', 'acute bilateral phrenic neuropathy']]","[['adalimumab', 'acute bilateral phrenic neuropathy']]"
this is the first report of acute kidney injury due to zonisamide-induced dress/dihs.,"[['zonisamide', 'acute kidney injury']]","[['zonisamide', 'acute kidney injury'], ['zonisamide', 'dihs'], ['zonisamide', 'dress']]"
"aluminum intoxication, along with other factors, was considered to be the cause of tc development.","[['aluminum intoxication', 'tc development']]","[['aluminum', 'aluminum intoxication'], ['aluminum', 'tc']]"
"one explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome p450 (cyp 1a2), an enzyme that is known to be inhibited with high concentrations of zafirlukast.","[['zafirlukast', 'theophylline level']]","[['theophylline', 'increase in the theophylline level'], ['zafirlukast', 'increase in the theophylline level']]"
"although the essential cause of pv is unclear, its onset has occasionally been associated with drug therapy, in particular penicillamine.","[['penicillamine', 'pv']]","[['penicillamine', 'pv']]"
early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,"[['lisinopril', 'multiorgan failure']]","[['lisinopril', 'multiorgan failure']]"
systemic lupus erythematosus during penicillamine therapy for rheumatoid arthritis.,"[['penicillamine', 'systemic lupus erythematosus']]","[['penicillamine', 'systemic lupus erythematosus']]"
cholesterol crystal embolization-associated renal failure after therapy with recombinant tissue-type plasminogen activator.,"[['recombinant tissue-type plasminogen activator', 'cholesterol crystal embolization-associated renal failure']]","[['tissue-type plasminogen activator', 'cholesterol crystal embolization'], ['tissue-type plasminogen activator', 'renal failure']]"
early recognition of renal toxicity of high-dose methotrexate therapy: a case report.,"[['methotrexate', 'renal toxicity']]","[['methotrexate', 'renal toxicity']]"
"the fetal valproate syndrome (fvs) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.","[['valproate', 'fetal valproate syndrome']]","[['valproate', 'developmental delay'], ['valproate', 'distinctive facial appearance'], ['valproate', 'fetal valproate syndrome'], ['valproate', 'fvs'], ['valproate', 'major and minor malformations']]"
objective: clozapine causes few extrapyramidal symptoms and is recommended as a treatment drug for severe tardive dyskinesia (td).,"[['clozapine', 'tardive dyskinesia']]","[['clozapine', 'extrapyramidal symptoms']]"
"the case history confirms that gold treatment, even in the same patient, can give rise to a wide range of skin disturbances, which in many cases do not break out until long after the drug has been withdrawn.","[['gold', 'skin disturbances']]","[['gold', 'skin disturbances']]"
we speculate that platelet activation induced by pfviii may have contributed to thrombosis and suggest that pfviii be used with caution in elderly patients with pre-existing cardiovascular risk factors.,"[['pfviii', 'thrombosis']]","[['pfviii', 'thrombosis']]"
ciprofloxacin-induced renal insufficiency in cystic fibrosis.,"[['ciprofloxacin', 'renal insufficiency']]","[['ciprofloxacin', 'renal insufficiency']]"
"a 7-year-old boy developed a severe unilateral grand mal seizure at the age of 5 years (phenobarbitone therapy); 1.5 years later valproate (2-propylpentanoic acid, vpa) was added to the therapy.","[['phenobarbitone', 'seizure'], ['valproate', 'seizure']]","[['2-propylpentanoic acid', 'severe unilateral grand mal seizure'], ['phenobarbitone', 'severe unilateral grand mal seizure'], ['valproate', 'severe unilateral grand mal seizure'], ['vpa', 'severe unilateral grand mal seizure']]"
objective: the aim of this paper is to describe a case of increased libido during fluvoxamine therapy.,"[['fluvoxamine', 'increased libido']]","[['fluvoxamine', 'increased libido']]"
development of crohn's disease in a patient with multiple sclerosis treated with copaxone.,"[['copaxone', ""crohn's disease""]]","[['copaxone', ""crohn's disease""]]"
"we describe a case of disseminated muscular cysticercosis followed by myositis (fever, diffuse myalgia, weakness of the lower limbs, and inflammatory reaction around dying cysticerci) induced by praziquantel therapy, an event not described previously.","[['praziquantel', 'disseminated muscular cysticercosis']]","[['praziquantel', 'diffuse myalgia'], ['praziquantel', 'fever'], ['praziquantel', 'inflammatory reaction around dying cysticerci'], ['praziquantel', 'myositis'], ['praziquantel', 'weakness of the lower limbs']]"
transient leucopenia and thrombocytopenia associated with sodium nitroprusside infusion.,"[['sodium nitroprusside', 'leucopenia'], ['sodium nitroprusside', 'thrombocytopenia']]","[['sodium nitroprusside', 'leucopenia'], ['sodium nitroprusside', 'thrombocytopenia']]"
"recovery of the tubular dysfunction took 15 days following cessation of the offending drug, amikacin.","[['amikacin', 'tubular dysfunction']]","[['amikacin', 'tubular dysfunction']]"
"due to the increasing use of tmp-smx in children, clinicians should be aware of this potentially life-threatening, immunemediated hypersensitivity reaction.","[['tmp-smx', 'immunemediated hypersensitivity reaction']]","[['tmp-smx', 'immunemediated hypersensitivity reaction']]"
"objective: to study therapy with indapamide impairing carbohydrate metabolism in essential hypertension patients and achieve earlier prevention, diagnoses and treatment of diabetes induced by indapamide.","[['indapamide', 'carbohydrate metabolism']]","[['indapamide', 'diabetes'], ['indapamide', 'diabetes'], ['indapamide', 'impairing carbohydrate metabolism']]"
prick tests and intradermal tests with a series of dilutions of carboplatin and cisplatin were performed on three patients who had exhibited medium and severe hypersensitivity reactions to carboplatin.,"[['carboplatin', 'hypersensitivity reactions'], ['cisplatin', 'hypersensitivity reactions']]","[['carboplatin', 'severe hypersensitivity']]"
hemolytic uremic syndrome following the infusion of oxaliplatin: case report.,"[['oxaliplatin', 'hemolytic uremic syndrome']]","[['oxaliplatin', 'hemolytic uremic syndrome']]"
we report aza-induced drug eruption that developed in two cases of systemic scleroderma with polymyositis.,"[['aza', 'drug eruption']]","[['aza', 'drug eruption']]"
d-penicillamine induced crescentic glomerulonephritis: report and review of the literature.,"[['d-penicillamine', 'crescentic glomerulonephritis']]","[['d-penicillamine', 'crescentic glomerulonephritis']]"
serotonin syndrome caused by interaction between citalopram and fentanyl.,"[['citalopram', 'fentanyl', 'serotonin syndrome']]","[['citalopram', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome']]"
a case report of fatal dapsone-induced agranulocytosis in an indian mid-borderline leprosy patient.,"[['dapsone', 'agranulocytosis']]","[['dapsone', 'agranulocytosis']]"
purpose: to report a case of bilateral anterior uveitis associated with ovulation induction therapy using clomiphene citrate.,"[['clomiphene citrate', 'bilateral anterior uveitis']]","[['clomiphene citrate', 'bilateral anterior uveitis']]"
syncope induced by propranolol in hypertrophic cardiomyopathy.,"[['propranolol', 'syncope']]","[['propranolol', 'syncope']]"
"patients receiving amifostine who develop only fever should be evaluated for an adverse drug reaction, as well as for sepsis and fevers of neutropenia, and it may be necessary to discontinue the drug.","[['amifostine', 'fever']]","[['amifostine', 'fever'], ['amifostine', 'fevers of neutropenia'], ['amifostine', 'sepsis']]"
"neurologic symptoms resolved after stopping cap for 4 weeks in patient a, with no recurrence after reinitiating cap alone at 2000 mg/m2.","[['cap', 'neurologic symptoms']]","[['cap', 'neurologic symptoms'], ['cap', 'neurologic symptoms']]"
conclusion: significant weight loss is a potential adverse event in patients with rheumatoid arthritis treated with leflunomide.,"[['leflunomide', 'weight loss']]","[['leflunomide', 'weight loss']]"
hyponatraemia during low-dose carbamazepine therapy.,"[['carbamazepine', 'hyponatraemia']]","[['carbamazepine', 'hyponatraemia']]"
a case is presented which illustrates a probably fatal interaction between minoxidil and a coagulation disorder.,"[['minoxidil', 'coagulation disorder']]","[['minoxidil', 'fatal interaction']]"
we report a 45-year-old psoriasis patient who developed eruptive mollusca contagiosa during an antipsoriatic treatment with efalizumab.,"[['efalizumab', 'mollusca contagiosa']]","[['efalizumab', 'eruptive mollusca contagiosa']]"
"to our knowledge, four cases of interstitial pneumonitis associated with fludarabine have been reported in medical literature.","[['fludarabine', 'interstitial pneumonitis']]","[['fludarabine', 'interstitial pneumonitis']]"
case 4: a 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.,"[['cyanamide', 'elevation of serum transaminases']]","[['cyanamide', 'elevation of serum transaminases']]"
an insulin-dependent diabetic patient with nephropathy developed severe acidosis after treatment with acetazolamide for glaucoma.,"[['acetazolamide', 'severe acidosis']]","[['acetazolamide', 'severe acidosis']]"
"a 21-year-old woman suffering from bipolar affective disorder developed systemic lupus erythematosus (sle) with characteristic laboratory findings, 18 months after starting carbamazepine maintenance treatment.","[['carbamazepine', 'sle']]","[['carbamazepine', 'sle'], ['carbamazepine', 'systemic lupus erythematosus']]"
pulmonary toxicity secondary to procarbazine.,"[['procarbazine', 'pulmonary toxicity']]","[['procarbazine', 'pulmonary toxicity']]"
insulin-induced cardiac failure.,"[['insulin', 'cardiac failure']]","[['insulin', 'cardiac failure']]"
the authors report a case of balint syndrome with irreversible posterior leukoencephalopathy on mri following intrathecal methotrexate and cytarabine.,"[['methotrexate', 'balint syndrome'], ['cytarabine', 'balint syndrome']]","[['cytarabine', 'balint syndrome'], ['methotrexate', 'balint syndrome'], ['cytarabine', 'posterior leukoencephalopathy'], ['methotrexate', 'posterior leukoencephalopathy']]"
we present a patient with human immunodeficiency virus infection under treatment with foscarnet for cmv retinitis who complained of thirst and polyuria.,"[['foscarnet', 'polyuria']]","[['foscarnet', 'polyuria'], ['foscarnet', 'thirst']]"
we report a 13 year-old male who developed life-threatening anaphylaxis early in the course of increlex therapy.,"[['increlex', 'anaphylaxis']]","[['increlex', 'anaphylaxis']]"
stroke-like syndrome after gold sodium thiomalate induced vasomotor reaction.,"[['gold sodium thiomalate', 'stroke-like syndrome']]","[['gold sodium thiomalate', 'stroke-like syndrome'], ['gold sodium thiomalate', 'vasomotor reaction']]"
flucloxacillin-induced aplastic anaemia and liver failure.,"[['flucloxacillin', 'aplastic anaemia'], ['flucloxacillin', 'liver failure']]","[['flucloxacillin', 'aplastic anaemia'], ['flucloxacillin', 'liver failure']]"
only one case of a generalized maculopapular rash with enoxaparin has been reported in europe.,"[['enoxaparin', 'maculopapular rash']]","[['enoxaparin', 'generalized maculopapular rash']]"
"subcutaneous il-2 is safe and well tolerated, with a mortality rate <3%.","[['il-2', 'mortality']]","[['il-2', 'mortality rate <3']]"
"conclusions: in our reported case, a local hyperproduction of tnf-alpha from macrophages that was induced by the injected insulin could explain the dedifferentiation of the adipocytes of the subcutaneous tissue and the reversion that was induced by the local injection of dexamethasone.","[['insulin', 'tnf-alpha'], ['dexamethasone', 'tnf-alpha']]","[['insulin', 'dedifferentiation of the adipocytes'], ['insulin', 'hyperproduction of tnf-alpha']]"
a second patient with a similar glucose tolerance test result showed postprandial hyperglycemia when treated similarly with betamethasone valerate cream 0.1%.,"[['betamethasone valerate', 'postprandial hyperglycemia']]","[['betamethasone valerate', 'postprandial hyperglycemia']]"
tenofovir-associated nephrotoxicity in two hiv-infected adolescent males.,"[['tenofovir', 'nephrotoxicity']]","[['tenofovir', 'nephrotoxicity']]"
renal failure associated with acetazolamide therapy for glaucoma.,"[['acetazolamide', 'renal failure']]","[['acetazolamide', 'renal failure']]"
"in the presented case fluvoxamine-induced akathisia in an ocd patient was partially resistant to the anticholinergic agent biperiden, and was successfully treated with the 5-ht2a/5-ht2c antagonist mianserin.","[['fluvoxamine', 'akathisia'], ['biperiden', 'akathisia'], ['mianserin', 'akathisia']]","[['fluvoxamine', 'akathisia']]"
there is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.,"[['liothyronine', 'hyperthyroidism']]","[['liothyronine', 'hyperthyroidism']]"
in both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,"[['pyridostigmine', 'rippling phenomena'], ['azathioprine', 'rippling phenomena']]","[['pyridostigmine', 'rippling phenomena worsened']]"
we describe a case of ege manifested as an allergy to gemfibrozil.,"[['gemfibrozil', 'ege']]","[['gemfibrozil', 'ege']]"
six patients with no previous signs or symptoms suggestive of coronary artery disease developed acute coronary ischemia/infarction shortly after cis-diamine-dichloroplatinum ii (cisplatin) -based chemotherapy.,"[['cisplatin', 'acute coronary ischemia/infarction']]","[['cis-diamine-dichloroplatinum ii', 'acute coronary ischemia'], ['cisplatin', 'acute coronary ischemia'], ['cis-diamine-dichloroplatinum ii', 'infarction'], ['cisplatin', 'infarction']]"
we report on a 14-year-old boy with severe haemophilia a who developed a portal vein thrombosis during continuous infusion of f viii.,"[['f viii', 'portal vein thrombosis']]","[['f viii', 'portal vein thrombosis']]"
the following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,"[['olanzapine', 'uncontrolled diabetes mellitus'], ['olanzapine', 'weight gain']]","[['olanzapine', 'uncontrolled diabetes mellitus'], ['olanzapine', 'weight gain']]"
three cases of gold-related neuropathy are reported.,"[['gold', 'neuropathy']]","[['gold', 'neuropathy']]"
