input,response
"Postoperatively, the first two patients treated with 1 to 2 cc of thrombin were slow to awaken; one had evidence of vasospasm by transcranial Doppler ultrasound studies and multiple infarcts on cranial computerized tomography, while the other had a moderate-sized frontal hematoma with intracranial hypertension.","[[""thrombin"",""vasospasm""]]"
"In this case, CIPS was considered to be probably associated with cyclosporine according to the Naranjo probability scale.","[[""cyclosporine"",""CIPS""]]"
Discontinuation of simvastatin and cyclosporine resulted in resolution of rhabdomyolysis and normalization of renal function.,"[[""cyclosporine"",""rhabdomyolysis""]]"
Azathioprine can cause severe myelosuppression.,"[[""azathioprine"",""side effect"",""myelosuppression""]]"
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.","[[""dextroamphetamine"",""acral cyanosis""]]"
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.,"[[""granulocyte colony-stimulating factor"",""idiopathic neutropenia""]]"
Patient B developed perioral and upper extremity paresthesias during the fourth cycle of CAP alone (2500 mg/m2).,"[[""CAP"",""perioral and upper extremity paresthesias""]]"
"BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.","[[""gemcitabine"",""renal toxicity""]]"
"She was admitted following a fall and, after being given metoclopramide, developed movement disorder and a period of unresponsiveness.","[[""metoclopramide"",""drug interaction""]]"
Hepatobiliary disorders associated with orally administered terbinafine have rarely been reported.,"[[""terbinafine"",""hepatobiliary disorders""]]"
One of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction.,"[[""hypertension""], [""arteriosclerosis""], [""myocardial infarction""], [""topical minoxidil""]]"
This case report describes an adolescent with severe lupus erythematosus who received cyclophosphamide (CY) paired with taste (cod liver oil) and smell (rose perfume) as conditioned stimuli.,"[[""cyclophosphamide"",""adverse event""]]"
"We present the cases of two female patients diagnosed with relapsing-remitting multiple sclerosis (RRMS) who developed inflammatory musculoskeletal manifestations, following IFN-beta therapy.","[[""relapsing-remitting multiple sclerosis""], [""inflammatory musculoskeletal manifestations""], [""IFN-beta""]]"
Hepatitis with bridging fibrosis and reversible hepatic insufficiency in a woman with rheumatoid arthritis taking methotrexate.,"[[""methotrexate"",""hepatitis""]]"
Restless legs syndrome due to interferon-alpha.,"[[""restless legs syndrome""], [""interferon-alpha""], [""restless legs syndrome""], [""interferon-alpha""], [""restless legs syndrome""]]"
The Center for Disease Control has received numerous reports of an eosinophilia-myalgia syndrome related to products containing L-tryptophan.,"[[""L-tryptophan""], [""eosinophilia-myalgia syndrome""]]"
Clinicians should be vigilant when monitoring for cardiotoxicity in patients receiving pentamidine throughout the duration of therapy.,"[[""Pentamidine"",""cardiotoxicity""]]"
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.","[[""Hu"",""increase in total Hb""]]"
Desipramine-associated SIADH in an elderly woman: case report.,"[[""desipramine"",""SIADH""]]"
Life-threatening alterations in heart rate after the use of adenosine in atrial flutter.,"[[""adenosine"",""heart rate""]]"
CONCLUSION: We report a case of the use of pamidronate for significant hypercalcemia secondary to acute vitamin D poisoning.,"[[""pamidronate"",""vitamin D poisoning""]]"
"After other potential causes of liver toxicity were excluded, TMP-SMX was determined to be the cause of his acute liver toxicity.","[[""TMP-SMX"",""acute liver toxicity""]]"
"Moreover, treatment with immunosuppressive drugs such as cyclosporine, cisplatin, tacrolimus, and interferon-alpha can induce a condition resembling RPLS.","[[""cyclosporine"",""drug""], [""cyclosporine"",""drug class""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclosporine"",""drug""], [""cyclospor"
"After four months, while receiving RH, he developed painful bilateral gynaecomastia.","[[""RH"",""gynaecomastia""]]"
Tuberculous uveitis after treatment with etanercept.,"[[""etanercept"",""Tuberculous uveitis""]]"
A patient is described who developed a poorly differentiated sarcoma after cyclophosphamide was used to treat his rheumatoid arthritis.,"[[""cyclophosphamide"",""sarcoma""]]"
A case report of a patient with probable cisplatin and bleomycin-induced TMA is presented.,"[[""Tumour necrosis factor-alpha"",""cisplatin""], [""Tumour necrosis factor-alpha"",""bleomycin""]]"
"CONCLUSIONS: Topiramate may be associated with ciliochoroidal effusion with forward displacement of the lens-iris diaphragm and anterior chamber shallowing, resulting in acute myopia and angle-closure glaucoma.","[[""Topiramate"",""ocular side effect""]]"
A 35-year-old female with borderline lepromatous (BL) leprosy who suffered from dapsone-induced erythroderma is reported.,"[[""dapsone"",""erythroderma""]]"
A 21-year-old patient developed rhabdomyolysis during his nineteenth week of treatment with clozapine for drug-resistant schizophrenia.,"[[""rhabdomyolysis""], [""clozapine""], [""schizophrenia""]]"
"Flare of Kaposi's sarcoma (KS) is well described in immunosuppressed patients treated with corticosteroids and rituximab, but has not yet been reported during treatment with imatinib.","[[""Kaposi's sarcoma""], [""Imatinib""], [""Flare of Kaposi's sarcoma""]]"
Brugada type electrocardiographic changes induced by concomitant use of lithium and propafenone in patient with Wolff-Parkinson-White syndrome.,"[[""Brugada syndrome""], [""propafenone""], [""Lithium""], [""Wolff-Parkinson-White syndrome""]]"
"In one patient, treatment with DCA was associated with a decrease in blood lactate levels from 11.2 mM before treatment to 0.8 mM 16 h later.","[[""diacetyl"",""blood lactate""]]"
"Ten hours after the second methotrexate injection, the patient experienced a diffuse pruritic papular eruption located mainly on the limbs.","[[""methotrexate"",""diffuse pruritic papular eruption""]]"
"An infant girl with choanal atresia, athelia, minor anomalies, and mild to moderate mental retardation was born to a woman treated for hyperthyroidism throughout pregnancy with methimazole and propranolol.","[[""atresia""], [""hyperthyroidism""], [""methimazole""], [""propranolol""]]"
Pellagra encephalopathy among tuberculous patients: its relation to isoniazid therapy.,"[[""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""], [""Pellagra encephalopathy""],"
"During her third cycle, she again received cisplatin 100 mg/m2 over 30 minutes and developed palmar pruritus, urticaria, and edema.","[[""cisplatin"",""palmar pruritus""]]"
"Both patients developed hypoadrenalism while on o,p'-DDD and apparently adequate dexamethasone replacement therapy.","[[""o,p'-DDD"",""hypoadrenalism""]]"
De novo absence status of late onset following withdrawal of lorazepam: a case report.,"[[""de novo absence status""], [""lorazepam""], [""absence status""], [""late onset""]]"
A case of contact dermatitis due to sodium bisulfite in an ophthalmic solution.,"[[""contact dermatitis""], [""sodium bisulfite""], [""ophthalmic solution""]]"
We describe six patients who developed tardive dyskinesia after treatment with sulpiride for depression or gastrointestinal symptoms.,"[[""sulpiride"",""tardive dyskinesia""]]"
"Our findings suggest that significant progression of marrow reticulin fibrosis during imatinib therapy can be an indicator for a return or progression of CML and, in some patients with CML, imatinib may promote cytogenetic clonal evolution, resulting in a poor response to treatment.","[[""CML"",""imatinib""]]"
Localized panniculitis and subsequent lipoatrophy with subcutaneous glatiramer acetate (Copaxone) injection for the treatment of multiple sclerosis.,"[[""glatiramer acetate"",""side effect""]]"
We describe a case of subcutaneous metastasis along the needle track after percutaneous ethanol injection (PEI) for treatment of hepatocellular carcinoma.,"[[""hepatocellular carcinoma"",""subcutaneous metastasis""]]"
"In a single practice during the 21 years 1971-1991, the incidence of gestational diabetes in pregnancies in which norethisterone was prescribed was 32.4% (22 of 69) in comparison with 7.1% in pregnancies in which the women did not take norethisterone (137 of 1,684) (p < 0.001).","[[""norethisterone"",""incidence""], [""norethisterone"",""prevalence""], [""norethisterone"",""drug""]]"
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.","[[""insulin"",""hyperglycemia""]]"
We report a 78-year-old man who had acute unilateral total visual loss after retrogasserian phenol injection for the treatment of trigeminal neuralgia.,"[[""trigeminal neuralgia""], [""phenol""], [""total visual loss""]]"
"Listeria brain abscess, Pneumocystis pneumonia and Kaposi's sarcoma after temozolomide.","[[""Listeria brain abscess"", ""Pneumocystis pneumonia""], [""Pneumocystis pneumonia""], [""Kaposi's sarcoma""]]"
Interstitial granulomatous dermatitis associated with darifenacin.,"[[""darifenacin"",""drug interaction""]]"
Fatal interstitial pneumonitis associated with docetaxel administration in a patient with hormone-refractory prostate cancer.,"[[""docetaxel"",""interstitial pneumonitis""]]"
"However, adenosine shortens the antegrade refractoriness of accessory atrioventricular connections and may cause acceleration of the ventricular rate during atrial fibrillation.","[[""adenosine"",""cardiotoxicity""]]"
We describe 3 AS patients treated with etanercept for active AS who developed new onset of CD while AS related symptoms responded well to etanercept.,"[[""etanercept"",""active spondyloarthritis""]]"
Use of the Naranjo probability scale indicated a highly probable relationship between the observed cardiac toxicity and amphotericin B deoxycholate therapy in this patient.,"[[""amphotericin B deoxycholate"",""cardiotoxicity""]]"
"Torsades de Pointes induced by a combination of garenoxacin and disopyramide and other cytochrome P450, family 3, subfamily A polypeptide-4-influencing drugs during hypokalemia due to licorice.","[[""garenoxacin"",""disopyramide""]]"
Eruptive epidermoid cysts resulting from treatment with imiquimod.,"[[""immuquimod"",""eruptive epidermoid cysts""]]"
"In this report, a patient who had undergone a renal transplantation as a result of malignant hypertension, and who was on immunosuppressive therapy consisting of cyclosporin, prednisone and azathioprine, developed thrombosis of the central retinal vein 5 years following the transplantation.","[[""cyclosporin"",""retinal vein thrombosis""]]"
"We report three patients, all of whom had preexisting diabetic dyslipidemia, who showed a profound reduction in plasma HDL cholesterol and apolipoprotein AI levels soon after the initiation of rosiglitazone therapy.","[[""rosiglitazone"",""diabetic dyslipidemia""]]"
Ibuprofen-induced meningitis: detection of intrathecal IgG synthesis and immune complexes.,"[[""Ibuprofen"",""meningitis""]]"
"Thus, tardive seizures in our cases are thought to be related to piperacillin and cefotiam.","[[""tardive seizures""], [""piperacillin""], [""cefotiam""]]"
Acute esmolol toxicity may be self-limiting because of its extremely short half-life.,"[[""esmolol"",""acute toxicity""]]"
Esophageal candidiasis following omeprazole therapy: a report of two cases.,"[[""Esophageal candidiasis""], [""Esophageal candidiasis""], [""Omeprazole""], [""Esophageal candidiasis""]]"
We report five cases of carboplatin (CBDCA) hypersensitivity after weekly low-dose paclitaxel (60 mg/m2)/CBDCA (area under the concentration curve = 2) therapy in patients with recurrent ovarian cancer receiving multiple platinum-based chemotherapy.,"[[""carboplatin"",""hypersensitivity""]]"
Temozolomide was restarted 2 months later; the patient again developed a fever.,"[[""Temozolomide"",""Fever""]]"
Diclofenac-associated hepatitis.,"[[""diclofenac"",""hepatitis""]]"
Celiprolol pneumonitis.,"[[""Celiprolol"",""drug interaction""]]"
The patient developed grade 3 capecitabine-induced headache.,"[[""capecitabine"",""headache""]]"
Vigabatrin-induced visual field defects are at present the most important safety issue in the use of the drug.,"[[""Vigabatrin"",""visual field defects""]]"
Fulminant metoclopramide induced neuroleptic malignant syndrome rapidly responsive to intravenous dantrolene.,"[[""dantrolene"",""induces""]]"
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.,"[[""sertraline"",""serotonin syndrome""], [""venlafaxine"",""serotonin syndrome""]]"
Celiac disease onset after pegylated interferon and ribavirin treatment of chronic hepatitis C.,"[[""Celiac disease""], [""Pegylated interferon and ribavirin""], [""Celiac disease""], [""Clinical trial""]]"
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.,"[[""cyclosporine"",""septicemia""]]"
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.","[[""thrombocytopenia""], [""cardiopulmonary bypass""], [""anticoagulation""], [""heparin""], [""thrombocytopenia""]]"
This case of linezolid-associated acute interstitial nephritis within the context of a drug rash with eosinophilia and systemic symptoms (DRESS) syndrome in a patient treated with linezolid raises concerns about the presumed renal safety of this drug.,"[[""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""DRESS syndrome""], [""linezolid""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], [""DRESS syndrome""], ["
The uncomplicated long-term use of adequately-dosed AZA and stable non-toxic metabolite levels could not acknowledge TPMT deficiency as a primary cause of the leukopenia.,"[[""aza"",""metabolite""]]"
It is suggested therefore that methotrexate be added to the list of agents capable of inducing diffuse interstitial pulmonary fibrosis.,"[[""methotrexate"",""diffuse interstitial pulmonary fibrosis""]]"
Drug induced polymyositis secondary to leuprolide acetate (Lupron) therapy for prostate carcinoma.,"[[""Lupron"",""drug induced polymyositis""]]"
CONCLUSIONS: The fundus picture shown in these cases may be typical of ASPPC after IVTA injection.,"[[""ASPPC"",""fundus picture""]]"
The use of rituximab has been uncommonly associated with delayed pulmonary toxicity.,"[[""rituximab"",""delayed pulmonary toxicity""]]"
"We report the case of a 17-year-old male who developed chest pain, elevated cardiac biomarkers, and acute left ventricular dysfunction following a single dose of methylphenidate.","[[""methylphenidate"",""acute left ventricular dysfunction""]]"
Methotrexate pneumonitis in nonsurgical treatment of ectopic pregnancy.,"[[""methotrexate"",""pneumonitis""]]"
Cisplatin-induced syndrome of inappropriate antidiuretic hormone (SIADH) in a patient with neuroendocrine tumor of the cervix: a case report and review of the literature.,"[[""cisplatin"",""syndrome of inappropriate antidiuretic hormone""]]"
Ciprofloxacin-induced renal insufficiency in cystic fibrosis.,"[[""ciprofloxacin"",""renal insufficiency""]]"
Early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,"[[""lisinopril"",""multiorgan failure""]]"
OBJECTIVES: To describe clinical and pathologic findings in patients noted to develop lower gastrointestinal symptoms when exposed to rofecoxib.,"[[""rofecoxib"",""lower gastrointestinal symptoms""]]"
Case study: a modified topical treatment regimen for sodium warfarin-induced necrotizing fasciitis.,"[[""necrotizing fasciitis""], [""sodium warfarin""], [""case study""]]"
"We present the case of a postictal patient with lethargy, hyperammonemia, otherwise normal liver function tests, and a therapeutic valproic acid level.","[[""valproic acid"",""hyperammonemia""]]"
Lethal anuria complicating high dose ifosfamide chemotherapy in a breast cancer patient with an impaired renal function.,"[[""ifosfamide"",""nephrotoxicity""]]"
"We report a case of a women in whom a malignant mixed mesodermal tumor was diagnosed while she was taking raloxifene, which is also a selective estrogen receptor modulator.","[[""raloxifene"",""malignant mixed mullerian tumor""]]"
"The authors describe a woman with chronic schizophrenia who experienced delirium, grand mal seizure, and photosensitivity after the addition of propranolol to her neuroleptic regimen.","[[""grand mal seizure""], [""propranolol""], [""schizophrenia""], [""photosensitivity""]]"
It is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.,"[[""toxic epidermal necrolysis""], [""ofloxacin""], [""case report""]]"
Transient asymptomatic bradycardia in patients on infusional 5-fluorouracil.,"[[""5-fluorouracil"",""bradycardia""]]"
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.","[[""Rapamycin/sirolimus (SR)"",""hypertension""]]"
Possible mechanisms for damage to the urothelium by ketamine are suggested.,"[[""ketamine"",""toxicity""]]"
"Methotrexate may rarely provoke serositis, even with low doses and after just a few weeks of therapy.","[[""methotrexate"",""serositis""]]"
Digestive hemorrhage caused by a Meckel's diverticulum in a metformin-treated patient: is there any connection?,"[[""Meckel's diverticulum""], [""metformin""], [""digestive hemorrhage""]]"
Upper tract urothelial malignancy after cyclophosphamide therapy: a case report and literature review.,"[[""cyclophosphamide"",""upper tract urothelial malignancy""]]"
Fatal toxic epidermal necrolysis related to lamotrigine administration.,"[[""lamotrigine"",""toxic epidermal necrolysis""]]"
Occurrence of IDDM during interferon therapy for chronic viral hepatitis.,"[[""IDDM"",""drug""]]"
"DISCUSSION: Colchicine, the most important drug in treatment of FMF, can cause myopathy in patients with impaired renal and hepatic function.","[[""Colchicine"",""drug""]]"
Insulin-dependent diabetes mellitus developed in a young woman 8 weeks after the initiation of danazol for treatment of pelvic endometriosis.,"[[""danazol"",""diabetes mellitus""]]"
Juvenile absence epilepsy exacerbated by valproic acid.,"[[""valproic acid"",""drug""]]"
"In each of the three reported patients, alteration of eyelid appearance with deepening of the lid sulcus was evident as the result of topical bimatoprost therapy.","[[""bimatoprost"",""eyelid appearance""]]"
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.","[[""phosphate shower syndrome""], [""high dose methotrexate""], [""folinic acid""]]"
"OBJECTIVE: To document a case of serotonin syndrome (SS) associated with mirtazapine monotherapy, review the previously reported cases of SS associated with this tetracyclic antidepressant, and discuss the possible pathogenic mechanisms leading to this serious adverse drug reaction.","[[""mirtazapine"",""serotonin syndrome""]]"
"In view of our experience in the present case, it should be stressed that close monitoring of coagulation capacity is necessary in critically ill patients in order to avoid fatal haemorrhage after initiating warfarin therapy regardless of the dosage.","[[""Warfarin"",""initial dose""]]"
Anterior ischemic optic neuropathy secondary to interferon alfa.,"[[""interferon alfa"",""ocular side effect""]]"
An unusual cause of burn injury: unsupervised use of drugs that contain psoralens.,"[[""psoralens"",""drug""]]"
Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.,"[[""hereditary motor and sensory neuropathy type 1""], [""vincristine""], [""hereditary motor and sensory neuropathy type 1""], [""hereditary motor and sensory neuropathy type 1""], [""vincristine""], [""hereditary motor and sensory neuropathy type 1""]]"
Massive plasmocytosis due to methimazole-induced bone marrow toxicity.,"[[""methimazole"",""bone marrow toxicity""]]"
Adverse reaction in a patient with aspirin-induced asthma treated with zafirlukast.,"[[""aspirin-induced asthma""], [""zafirlukast""], [""aspirin""], [""aspirin""], [""zafirlukast""], [""aspirin""]]"
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,"[[""cyclophosphamide (cytoxan)"",""embryopathy""]]"
"A case of skeletal fluorosis induced by prolonged treatment with niflumic acid, a fast-acting non-steroid antiinflammatory agent, is reported in a 35-year-old woman suffering from rheumatoid arthritis and treated, in addition, with corticosteroids.","[[""niflumic acid"",""skeletal fluorosis""]]"
Toxic epidermal necrolysis resulted after 19 days of treatment with 5-fluorocytosine and amphotericin B.,"[[""toxic epidermal necrolysis""], [""5-fluorocytosine""], [""amphotericin B""]]"
The authors report two cases of acute dystonic reactions (ADRs) as a side effect of lamivudine.,"[[""lamivudine"",""acute dystonic reactions""]]"
It is the first case of ciprofloxacin-induced VBDS successfully treated with tacrolimus.,"[[""ciprofloxacin"",""viral hepatitis""]]"
Atypical endometriosis may act as a precancerous lesion in the process of tamoxifen-induced malignant transformation of endometriosis.,"[[""Atypical endometriosis"",""precancerous lesion""]]"
Gynecomastia developed in two epileptic patients some months after the addition of oral fluoresone 750 mg daily to the phenobarbital and phenytoin already being administered.,"[[""fluoresone"",""gynecomastia""]]"
Sulfasalazine has been associated with bronchopulmonary complications of inflammatory bowel disease (IBD) in adults.,"[[""Sulfasalazine"",""bronchopulmonary complications""]]"
"The authors suggest that in the absence of any proven benefit of itraconazole prophylaxis, and given the interaction of this drug with vincristine leading to severe and even potentially fatal toxicities, the combination use of these drugs should be avoided.","[[""itraconazole"",""drug interaction""], [""itraconazole"",""potentially fatal""]]"
The first case concerns a 70-year-old man who developed severe aplastic anemia 7 weeks after treatment with 500 mg of ticlopidine daily.,"[[""ticlopidine"",""aplastic anemia""]]"
"One of these was clofazimine, an aniline aposafranine derivative known to produce a ceroid-like pigment in the tissues of patients treated with this drug or lepromatous leprosy.","[[""clofazimine"",""lepromatous leprosy""]]"
"Although there have been numerous reports of effusions, none have provided complete pleural fluid analysis; therefore, we report 2 patients with dasatinib-induced pleural effusion with complete pleural fluid analysis.","[[""Dasatinib"",""pleural effusion""]]"
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,"[[""methotrexate"",""lumbosacral radiculopathy""]]"
"Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.","[[""Ibuprofen"",""dizziness""]]"
We report three cases of IFN beta induced hepatitis in MS and discuss the pathology findings and possible mechanisms of drug-induced liver injury.,"[[""interferon beta"",""liver injury""]]"
"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).","[[""TCA"",""Cushing's syndrome""]]"
We report on a patient with acromegaly who developed severe drug-induced hepatitis during combined treatment with the long-acting somatostatin-analog octreotide and the GH receptor antagonist pegvisomant.,"[[""octreotide"",""drug-induced hepatitis""]]"
Erythema multiforme bullosum due to rifampicin.,"[[""rifampicin"",""erythema multiforme bullosum""]]"
OBJECTIVE: To describe a case of cefazolin-induced leukopenia in a critically ill patient who developed this adverse reaction upon rechallenge with cefoxitin.,"[[""leukopenia""], [""cefazolin""], [""rechallenge""], [""cefoxitin""]]"
Pulmonary edema occurred 24 hours after intravenous ritodrine therapy and 10 hours after subcutaneous terbutaline therapy.,"[[""ritodrine"",""pulmonary edema""]]"
A 66-year-old mand suffering from severe coronary heart disease took digoxin with suicidal intent an was treated for the ensuing complete atrioventricular block with digoxin-specific antibody fragments.,"[[""digoxin"",""suicidal intent""]]"
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.","[[""manic state"",""intense anxiety""]]"
Subfulminant hepatitis B after infliximab in Crohn's disease: need for HBV-screening?,"[[""infliximab"",""subfulminant hepatitis B""]]"
"We report a myeloma patient who developed severe paralytic ileus during bortezomib therapy, which presented in the context of progressive constipation without other known causes and which regressed promptly with medical management after drug cessation, suggesting a direct causal relationship.","[[""bortezomib"",""paralytic ileus""]]"
The authors report a case of urinary incontinence (UI) that occurred in a woman after administration of venlafaxine.,"[[""venlafaxine"",""urinary incontinence""]]"
Encephalopathy and seizures induced by intravesical alum irrigations.,"[[""alum"",""encephalopathy""]]"
Physicians should be aware that PLP can occur after initiation of paclitaxel.,"[[""paclitaxel"",""primary lymphocytic leukemia""]]"
"To develop information on the relative rarity or frequency of neurologic worsening with the initiation of penicillamine therapy, we conducted a retrospective survey of 25 additional patients with Wilson's disease who met the criteria of presenting with neurologic disease and having been treated with penicillamine.","[[""Wilson's disease"",""neurologic disease""]]"
"Benzocaine, an ester-type local anesthetic, was believed responsible for apparent methemoglobinemia in a cat.","[[""benzocaine"",""induces methemoglobinemia""]]"
Fatal eosinophilia myalgia syndrome in a marrow transplant patient attributed to total parenteral nutrition with a solution containing tryptophan.,"[[""eosinophilia myalgia syndrome""], [""total parenteral nutrition""], [""eosinophilia myalgia syndrome""], [""total parenteral nutrition""], [""eosinophilia""]]"
"PURPOSE/OBJECTIVES: To describe the pharmacogenetic syndrome of dihydropyrimidine dehydrogenase (DPD) deficiency, which predisposes patients with cancer to potentially lethal adverse reactions following 5-fluorouracil (5-FU)-based chemotherapy.","[[""5-fluorouracil"",""pharmacogenetic syndrome""]]"
Ovarian endometrioid carcinoma and endometriosis developing in a postmenopausal breast cancer patient during tamoxifen therapy: a case report and review of the literature.,"[[""tamoxifen"",""ovarian endometrioid carcinoma""]]"
"Thrombin is highly effective for stopping intractable arterial hemorrhage during stereotactic brain biopsy; however, it is a vasospastic agent and may have been responsible for the cerebral infarctions in one patient.","[[""thrombin"",""vasospastic agent""]]"
Establishment of diuresis with fluids and IV administration of calcium may provide successful treatment of magnesium toxicosis in horses.,"[[""magnesium toxicosis""], [""magnesium""], [""magnesium""], [""magnesium toxicity""]]"
"Fatal outcome of intravesical formalin instillation, with changes mimicking renal tuberculosis.","[[""formalin"",""instillation""]]"
Zolpidem tissue concentrations in a multiple drug related death involving Ambien.,"[[""Zolpidem"",""death""]]"
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,"[[""agranulocytosis""], [""methimazole""], [""thyrotoxicosis""]]"
Methylphenidate (Ritalin)-associated cataract and glaucoma.,"[[""Ritalin"",""cataract""]]"
Cardiac arrest following use of sumatriptan.,"[[""sumatriptan"",""cardiac arrest""]]"
Ciprofloxacin-induced toxic epidermal necrolysis in a patient with systemic lupus erythematosus.,"[[""toxic epidermal necrolysis""], [""ciprofloxacin""], [""systemic lupus erythematosus""]]"
Valproate embryopathy in three sets of siblings: further proof of hereditary susceptibility.,"[[""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""], [""valproate embryopathy""],"
"Isotretinoin, a drug used for the treatment of acne, has been shown to have teratogenic effects.","[[""Isotretinoin"",""teratogenic effects""]]"
"CONCLUSIONS: This observation of ""on-off"" risperidone treatment suggests that risperidone may have worsened both psychiatric and physical manifestations of the mitochondrial disorder in this adolescent.","[[""risperidone"",""psychiatric disorder""]]"
Fatal gemcitabine-induced pulmonary toxicity in metastatic   gallbladder adenocarcinoma.,"[[""gemcitabine"",""pulmonary toxicity""]]"
Reversible leukopenia was documented in an 81-year-old woman treated with adjunctive ibopamine 100 mg t.i.d. for chronic congestive heart failure.,"[[""ibopamine"",""leukopenia""]]"
This concerns 2 male patients who experienced incontinence while taking venlafaxine.,"[[""venlafaxine"",""incontinence""]]"
"After the second infliximab infusion, he was found to have a severe transient neutropenia (0.5 x 10(9)/L).","[[""infliximab"",""severe transient neutropenia""]]"
Anaphylaxis to intrathecal diamorphine.,"[[""diamorphine"",""anaphylaxis""]]"
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,"[[""brimonidine"",""infant""]]"
The 3-week sulphasalazine syndrome strikes again.,"[[""3-week sulphasalazine syndrome""]]"
Acute non-lymphocytic leukemia occurred in eight women following long-term treatment with Treosulfan (= dihydroxybusulfan) for ovarian carcinoma.,"[[""Treosulfan"",""drug""]]"
Acyclovir-induced neurotoxicity: concentration-side effect relationship in acyclovir overdose.,"[[""acyclovir"",""concentration-side effect relationship""]]"
A case of the Rett syndrome with acute encephalopathy induced during calcium hopantenate treatment.,"[[""Rett syndrome""], [""Hopantenate""], [""Hopantenate""], [""Acute encephalopathy""]]"
Methotrexate is an effective but potentially toxic treatment for psoriasis.,"[[""methotrexate"",""drug""]]"
